1	ex9_2_4	ctl	0.13	3471b08c
1	ex9_2_4	gate600	0.13	3471b08c
1	sssd15-04	ctl	0.20	30bc44ed
1	sssd15-04	gate600	0.22	30bc44ed
1	autocorr_bern35-35fix	ctl	0.00	3b4f7018
1	autocorr_bern35-35fix	gate600	0.00	3b4f7018
1	ex2_1_3	ctl	0.17	7046e295
1	ex2_1_3	gate600	0.19	7046e295
1	qapw	ctl	0.57	913654a0
1	qapw	gate600	0.56	913654a0
1	himmel11	ctl	0.16	7efc0ead
1	himmel11	gate600	0.17	7efc0ead
1	pooling_rt2tp	ctl	0.31	901b21ee
1	pooling_rt2tp	gate600	0.34	901b21ee
1	waterund14	ctl	0.43	c2d1b192
1	waterund14	gate600	0.50	7fa15407
1	tspn08	ctl	0.29	5ab76a2f
1	tspn08	gate600	0.30	5ab76a2f
1	st_e24	ctl	0.00	14d8919d
1	st_e24	gate600	0.00	14d8919d
1	genpooling_lee2	ctl	0.33	d2fd285e
1	genpooling_lee2	gate600	0.36	d2fd285e
1	qspp_0_14_0_1_10_1	ctl	0.31	bc2c722a
1	qspp_0_14_0_1_10_1	gate600	0.30	bc2c722a
1	st_glmp_ss1	ctl	0.15	3c933717
1	st_glmp_ss1	gate600	0.15	3c933717
1	st_rv2	ctl	0.25	938ae804
1	st_rv2	gate600	0.26	938ae804
1	pedigree_sim400	ctl	0.00	6b14db45
1	pedigree_sim400	gate600	0.00	6b14db45
1	gancns	ctl	0.56	0d2b93e8
1	gancns	gate600	0.69	aee7ba45
1	ex1265a	ctl	0.41	f77487fc
1	ex1265a	gate600	0.40	f77487fc
1	ex9_2_6	ctl	0.17	851210d4
1	ex9_2_6	gate600	0.18	851210d4
1	qspp_0_13_0_1_10_1	ctl	0.26	1122e76e
1	qspp_0_13_0_1_10_1	gate600	0.25	1122e76e
1	slay04m	ctl	0.23	a58f2e83
1	slay04m	gate600	0.25	a58f2e83
1	st_e25	ctl	0.00	a77779bd
1	st_e25	gate600	0.00	a77779bd
1	ex8_4_1	ctl	0.24	12f070ae
1	ex8_4_1	gate600	0.25	12f070ae
1	st_e07	ctl	0.22	83f76d07
1	st_e07	gate600	0.23	83f76d07
1	ex1225	ctl	0.17	ff14b7da
1	ex1225	gate600	0.18	ff14b7da
1	ndcc13	ctl	0.69	118d2fa9
1	ndcc13	gate600	0.67	118d2fa9
1	ex5_2_4	ctl	0.21	0824979c
1	ex5_2_4	gate600	0.22	0824979c
1	st_m2	ctl	0.42	a41d1cb1
1	st_m2	gate600	0.45	a41d1cb1
1	st_bpk1	ctl	0.15	1d64c8c8
1	st_bpk1	gate600	0.16	1d64c8c8
1	multiplants_stg1	ctl	0.76	693f5ab5
1	multiplants_stg1	gate600	0.76	693f5ab5
1	sonet23v4	ctl	0.71	f6e554eb
1	sonet23v4	gate600	0.69	f6e554eb
1	multiplants_mtg1b	ctl	0.77	180ead73
1	multiplants_mtg1b	gate600	0.74	180ead73
1	sssd18-08persp	ctl	0.29	1198bbd7
1	sssd18-08persp	gate600	0.34	1198bbd7
1	ex9_1_2	ctl	0.17	43516540
1	ex9_1_2	gate600	0.19	43516540
1	pooling_haverly1tp	ctl	0.24	3f2b1315
1	pooling_haverly1tp	gate600	0.26	3f2b1315
1	waterund08	ctl	0.31	5590db3c
1	waterund08	gate600	0.36	5590db3c
1	kall_diffcircles_6	ctl	0.21	2c3c9e69
1	kall_diffcircles_6	gate600	0.22	2c3c9e69
1	chimera_mgw-c8-439-onc8-001	ctl	0.56	26f6e724
1	chimera_mgw-c8-439-onc8-001	gate600	0.76	e183c5c6
1	waterund11	ctl	0.35	c2c1c7f5
1	waterund11	gate600	0.38	c2c1c7f5
1	sporttournament18	ctl	0.40	650efbec
1	sporttournament18	gate600	0.44	650efbec
1	cvxnonsep_psig30	ctl	0.00	a91a11a1
1	cvxnonsep_psig30	gate600	0.00	a91a11a1
1	wastepaper4	ctl	0.36	fdfbbd2e
1	wastepaper4	gate600	0.40	fdfbbd2e
1	ex8_1_7	ctl	0.18	5444554b
1	ex8_1_7	gate600	0.18	5444554b
1	graphpart_3g-0333-0333	ctl	0.30	25d070d2
1	graphpart_3g-0333-0333	gate600	0.32	25d070d2
1	slay05h	ctl	0.42	b22e0e98
1	slay05h	gate600	0.40	b22e0e98
1	korcns	ctl	0.39	6323a97f
1	korcns	gate600	0.42	6323a97f
1	maxmin	ctl	0.24	9c51d018
1	maxmin	gate600	0.27	9c51d018
1	st_ht	ctl	0.12	0f591dee
1	st_ht	gate600	0.12	0f591dee
1	primary	ctl	0.50	63ad93ac
1	primary	gate600	0.50	63ad93ac
1	wastewater02m1	ctl	0.27	fd964750
1	wastewater02m1	gate600	0.30	fd964750
1	rocket50	ctl	0.55	7dc94dae
1	rocket50	gate600	0.76	7dc94dae
1	orth_d4m6_pl	ctl	0.30	3f7ab8f8
1	orth_d4m6_pl	gate600	0.33	3f7ab8f8
1	ex1223	ctl	0.19	1f9448d5
1	ex1223	gate600	0.19	1f9448d5
1	ex6_1_4	ctl	0.18	e12303da
1	ex6_1_4	gate600	0.21	e12303da
1	powerflow0014r	ctl	0.37	bc27d0cd
1	powerflow0014r	gate600	0.43	bc27d0cd
1	tln2	ctl	0.18	cf9a7a89
1	tln2	gate600	0.21	cf9a7a89
1	prob02	ctl	0.21	91b902f6
1	prob02	gate600	0.24	91b902f6
1	tls6	ctl	0.47	6c291026
1	tls6	gate600	0.59	6c291026
1	qspp_0_11_0_1_10_1	ctl	0.26	0f4e2814
1	qspp_0_11_0_1_10_1	gate600	0.24	0f4e2814
1	p_ball_10b_5p_4d_m	ctl	0.34	7f608b2c
1	p_ball_10b_5p_4d_m	gate600	0.39	7f608b2c
1	st_rv9	ctl	0.31	5f6e7c33
1	st_rv9	gate600	0.33	5f6e7c33
1	nvs05	ctl	0.23	481c6cef
1	nvs05	gate600	0.24	481c6cef
1	autocorr_bern25-19	ctl	0.00	e3432bcb
1	autocorr_bern25-19	gate600	0.00	e3432bcb
1	sssd20-08persp	ctl	0.30	a9b7a741
1	sssd20-08persp	gate600	0.35	a9b7a741
1	multiplants_stg5	ctl	0.76	cc380588
1	multiplants_stg5	gate600	0.71	cc380588
1	multiplants_stg1a	ctl	0.73	e79868ec
1	multiplants_stg1a	gate600	0.72	e79868ec
1	pooling_adhya4pq	ctl	0.32	250b97c4
1	pooling_adhya4pq	gate600	0.35	250b97c4
1	sonet24v5	ctl	0.78	075ddce9
1	sonet24v5	gate600	0.74	075ddce9
1	nvs23	ctl	0.00	c6bbd4f5
1	nvs23	gate600	0.00	c6bbd4f5
1	oaer	ctl	0.15	837192bf
1	oaer	gate600	0.15	837192bf
1	hybriddynamic_fixed	ctl	0.18	c6e179bf
1	hybriddynamic_fixed	gate600	0.19	c6e179bf
1	st_miqp2	ctl	0.00	603041e8
1	st_miqp2	gate600	0.00	603041e8
1	autocorr_bern30-23	ctl	0.00	3a0e59c2
1	autocorr_bern30-23	gate600	0.00	3a0e59c2
1	cvxnonsep_psig30r	ctl	0.00	07b74f66
1	cvxnonsep_psig30r	gate600	0.00	07b74f66
1	multiplants_stg1c	ctl	0.72	7d66742a
1	multiplants_stg1c	gate600	0.85	7d66742a
1	st_pan1	ctl	0.13	6cf9e44a
1	st_pan1	gate600	0.13	6cf9e44a
1	multiplants_stg1b	ctl	0.81	1a781db4
1	multiplants_stg1b	gate600	0.79	1a781db4
1	st_m1	ctl	0.37	b95c6ea5
1	st_m1	gate600	0.37	b95c6ea5
1	rsyn0815m	ctl	0.53	db4568c2
1	rsyn0815m	gate600	0.52	db4568c2
1	st_glmp_ss2	ctl	0.15	a9e2248e
1	st_glmp_ss2	gate600	0.16	a9e2248e
1	pointpack06	ctl	0.20	3791f36d
1	pointpack06	gate600	0.20	3791f36d
1	clay0304m	ctl	0.27	e1b126c8
1	clay0304m	gate600	0.28	e1b126c8
1	st_test8	ctl	0.28	833471bb
1	st_test8	gate600	0.28	833471bb
1	sporttournament08	ctl	0.24	c6e39823
1	sporttournament08	gate600	0.24	c6e39823
1	wastewater13m1	ctl	0.48	12599388
1	wastewater13m1	gate600	0.64	12599388
1	sep1	ctl	0.20	c7385625
1	sep1	gate600	0.20	c7385625
1	st_qpc-m3a	ctl	0.00	87dff08d
1	st_qpc-m3a	gate600	0.00	87dff08d
1	space25a	ctl	0.54	38d6cbeb
1	space25a	gate600	0.53	38d6cbeb
1	autocorr_bern20-15	ctl	0.00	f47bf581
1	autocorr_bern20-15	gate600	0.00	f47bf581
1	ex7_2_1	ctl	0.24	b1f22460
1	ex7_2_1	gate600	0.25	b1f22460
1	pooling_digabel19	ctl	0.59	c1c44325
1	pooling_digabel19	gate600	0.58	c1c44325
1	clay0203m	ctl	0.28	3befff9b
1	clay0203m	gate600	0.30	3befff9b
2	slay06m	ctl	0.27	4f2396f7
2	slay06m	gate600	0.29	4f2396f7
2	sssd25-08	ctl	0.26	ecec5ccf
2	sssd25-08	gate600	0.29	ecec5ccf
2	st_bpaf1a	ctl	0.24	4e7174f2
2	st_bpaf1a	gate600	0.24	4e7174f2
2	qap	ctl	0.26	e2b344e6
2	qap	gate600	0.25	e2b344e6
2	sonetgr17	ctl	0.43	e6c37f4c
2	sonetgr17	gate600	0.51	e6c37f4c
2	ex8_3_9	ctl	0.36	252dcad3
2	ex8_3_9	gate600	0.36	252dcad3
2	p_ball_10b_5p_2d_m	ctl	0.34	ebe1b0b5
2	p_ball_10b_5p_2d_m	gate600	0.35	ebe1b0b5
2	pooling_adhya4tp	ctl	0.29	dada6286
2	pooling_adhya4tp	gate600	0.32	dada6286
2	clay0204hfsg	ctl	0.36	f6bacb9f
2	clay0204hfsg	gate600	0.41	f6bacb9f
2	st_bsj2	ctl	0.17	f23c99c0
2	st_bsj2	gate600	0.17	f23c99c0
2	chimera_mgw-c8-439-onc8-002	ctl	0.54	0f1b7c38
2	chimera_mgw-c8-439-onc8-002	gate600	0.70	0f1b7c38
2	syn40m	ctl	0.38	ff2c2b5a
2	syn40m	gate600	0.42	ff2c2b5a
2	ex1263a	ctl	0.25	60dbc1a6
2	ex1263a	gate600	0.26	60dbc1a6
2	st_e41	ctl	0.03	a5c44d18
2	st_e41	gate600	0.00	a5c44d18
2	wastewater05m1	ctl	0.36	a1459d00
2	wastewater05m1	gate600	0.36	a1459d00
2	cvxnonsep_psig20	ctl	0.00	6acd155c
2	cvxnonsep_psig20	gate600	0.00	6acd155c
2	st_e31	ctl	0.34	c3bcd46c
2	st_e31	gate600	0.36	c3bcd46c
2	pooling_haverly1pq	ctl	0.24	1f2838e4
2	pooling_haverly1pq	gate600	0.23	1f2838e4
2	graphpart_3g-0244-0244	ctl	0.33	ae0b7659
2	graphpart_3g-0244-0244	gate600	0.35	ae0b7659
2	graphpart_clique-20	ctl	0.51	b1c3e67b
2	graphpart_clique-20	gate600	0.52	b1c3e67b
2	slay07m	ctl	0.30	e8b82989
2	slay07m	gate600	0.36	e8b82989
2	nvs19	ctl	0.00	adc164ad
2	nvs19	gate600	0.00	adc164ad
2	clay0204m	ctl	0.28	c94a49ab
2	clay0204m	gate600	0.28	c94a49ab
2	st_ph13	ctl	0.15	cabaaedf
2	st_ph13	gate600	0.15	cabaaedf
2	chain200	ctl	0.28	a186edd8
2	chain200	gate600	0.28	a186edd8
2	ex1223b	ctl	0.17	a99090a5
2	ex1223b	gate600	0.25	a99090a5
2	ndcc12	ctl	0.74	914a45dd
2	ndcc12	gate600	0.73	914a45dd
2	autocorr_bern40-30	ctl	0.00	8d5d11b4
2	autocorr_bern40-30	gate600	0.00	8d5d11b4
2	slay08m	ctl	0.34	0fe63614
2	slay08m	gate600	0.34	0fe63614
2	forest	ctl	0.51	324ecf1a
2	forest	gate600	0.50	324ecf1a
2	qspp_0_10_0_1_10_1	ctl	0.26	bf0b2df6
2	qspp_0_10_0_1_10_1	gate600	0.26	bf0b2df6
2	st_ph1	ctl	0.20	5d5b73e0
2	st_ph1	gate600	0.19	5d5b73e0
2	elf	ctl	0.27	152746d4
2	elf	gate600	0.28	152746d4
