slay06m	357	1437	0.23 126%
sssd25-08	401	1601	0.25 137%
rsyn0810m04m	4772	18608	0.75 233%
pooling_sppc3pq	23173	916897	0.54 176%
sporttournament48	1131	7807	0.58 181%
pooling_sppa9pq	5030	125760	0.36 260%
edgecross10-090	1053	6257	0.35 208%
maxcsp-ehi-85-297-71	2372	210368	0.22 168%
st_bpaf1a	30	150	0.23 101%
risk2bpb	1462	6858	0.54 193%
qap	255	44003	0.18 165%
rsyn0830m04m	7252	28004	0.73 220%
lop97icx	1073	3191	0.27 163%
chain400	1201	5997	0.23 205%
mpbp_07	9532	40342	0.80 211%
sonetgr17	440	3398	0.37 168%
p_ball_30b_7p_2d_h	2207	9723	0.38 187%
pinene200	19995	117985	0.90 193%
unitcommit_200_100_1_mod_8	146830	623162	0.38 164%
ex8_3_9	123	957	0.31 112%
rsyn0820m02m	2486	9418	0.52 183%
p_ball_10b_5p_2d_m	293	1257	0.27 119%
pooling_adhya4tp	170	1106	0.25 119%
squfl015-080persp	7295	28895	0.29 274%
edgecross10-080	1053	6993	0.34 219%
clay0204hfsg	590	2286	0.33 144%
st_bsj2	13	53	0.17 100%
chimera_mgw-c8-439-onc8-002	440	3478	0.56 203%
batchs201210m	5188	23098	0.69 265%
rsyn0815m04m	5456	21212	0.81 222%
syn40m	560	2088	0.35 134%
knp5-44	2157	34761	0.22 276%
ex1263a	94	484	0.25 105%
st_e41	8	40	0.00 0%
squfl025-030	2305	8305	0.33 207%
wastewater05m1	98	634	0.27 108%
cvxnonsep_psig20	20	400	0.00 92%
meanvar-orl400_05_e_8	4405	176009	0.22 137%
st_e31	301	1045	0.26 115%
pooling_sppc1pq	14100	491780	0.42 235%
pooling_haverly1pq	31	127	0.23 101%
graphpart_3g-0244-0244	128	800	0.28 117%
graphpart_clique-20	80	1340	0.28 112%
mpbp_48	28368	119384	0.98 191%
pooling_sppb5pq	18529	692999	0.41 172%
slay07m	497	2009	0.26 144%
nvs19	24	224	0.18 101%
oil	3270	11700	0.65 212%
squfl015-060	2775	9975	0.43 225%
ndcc12persp	1112	6634	0.45 231%
kissing2	20772	421796	0.32 219%
nuclear25a	1942	17972	0.75 248%
clay0204m	222	926	0.24 114%
st_ph13	23	91	0.20 100%
edgecross10-030	1053	5707	0.47 197%
chain200	601	2997	0.30 168%
ex1223b	25	91	0.25 100%
slay09h	2718	10206	0.38 198%
ndcc12	974	6956	0.69 191%
kall_circlesrectangles_c6r39	1306	6684	0.47 196%
squfl020-150	9170	33170	0.45 279%
autocorr_bern40-30	43	1577	0.00 88%
slay08m	660	2676	0.31 164%
chimera_mgw-c16-2031-01	2032	17932	0.67 225%
forest	713	3371	0.44 180%
qspp_0_10_0_1_10_1	280	29916	0.19 201%
st_ph1	16	74	0.19 101%
elf	124	500	0.27 105%
ex3_1_3	18	54	0.20 100%
cvxnonsep_normcon40r	162	484	0.00 91%
demo7	155	773	0.27 113%
waternd2	615	3195	0.46 189%
prolog	64	356	0.27 103%
ex14_1_8	11	41	0.16 100%
faclay75	272878	1652584	0.14 98%
st_qpk3	55	603	0.18 105%
mpbp_34	11556	52416	0.87 169%
cvxnonsep_normcon20r	82	244	0.00 86%
cvxnonsep_psig20r	86	256	0.00 87%
crudeoil_pooling_dt2	18742	94652	1.01 185%
rsyn0805m03m	2868	11138	0.69 228%
st_iqpbk1	22	120	0.00 84%
waterund01	96	500	0.29 105%
pointpack04	29	149	0.21 101%
st_e22	12	42	0.15 100%
faclay30	16678	98920	0.55 158%
arki0002	4432	15680	0.60 192%
transswitch0300p	11659	60105	0.88 185%
crudeoil_pooling_dt3	30660	182870	1.01 152%
gasprod_sarawak81	22536	98172	0.76 163%
maxcsp-langford-3-11	660	30306	0.45 174%
p_ball_30b_5p_2d_h	1543	6767	0.41 191%
ringpack_20_3	6709	51929	0.56 260%
waste	4825	26329	0.84 281%
catmix400	2001	13193	0.64 120%
rsyn0815m02hfsg	3054	11022	0.54 203%
p_ball_10b_7p_3d_h	1236	5422	0.38 164%
chimera_k64ising-02	1225	5071	0.65 207%
batchs121208m	3404	14866	0.69 277%
nvs02	11	57	0.16 101%
wastepaper6	191	1607	0.27 129%
syn15hfsg	399	1421	0.27 123%
st_jcbpaf2	36	282	0.23 102%
camshape400	2000	9188	0.00 0%
graphpart_clique-30	120	2910	0.34 134%
graphpart_clique-70	280	15190	0.28 150%
smallinvDAXr1b010-011	39	1159	0.16 107%
nd_netgen-2000-3-4-b-a-ns_7	22074	82074	0.61 159%
slay05m	240	960	0.23 114%
chimera_selby-c16-01	2031	12995	0.83 194%
csched1	110	486	0.24 105%
watercontamination0303r	1310	38338	0.10 248%
ex9_2_4	15	51	0.19 101%
sssd15-04	163	603	0.24 109%
autocorr_bern35-35fix	38	1302	0.00 87%
sfacloc2_4_90	1491	5991	0.41 198%
cont6-qq	120395	678389	0.25 158%
meanvar-orl400_05_e_7	5205	180009	0.16 146%
glider400	10017	59641	0.36 173%
syn40m04m	4960	18752	0.74 260%
ex2_1_3	31	103	0.22 101%
qapw	705	88201	0.46 275%
himmel11	14	74	0.16 101%
syn15m04m	1908	7196	0.47 194%
pooling_rt2tp	118	772	0.25 109%
waterund14	333	2537	0.38 160%
crudeoil_lee4_10	17809	138441	0.85 210%
pooling_foulds4pq	1294	9596	0.52 238%
edgecross14-156	3097	22761	0.31 226%
tspn08	72	740	0.24 109%
crudeoil_li05	4225	18853	0.71 226%
procurement1large	14416	55484	1.04 194%
blend721	1428	5976	0.38 198%
chimera_selby-c16-02	2031	12909	0.87 195%
supplychainr1_053050	16640	74440	0.26 257%
sfacloc2_4_80	5067	26491	0.69 275%
st_e24	10	36	0.15 99%
edgecross10-040	1053	6169	0.37 219%
sonet21v6	8232	48976	0.50 188%
squfl010-080	2490	8890	0.33 230%
genpooling_lee2	221	1269	0.28 122%
popdynm25	2807	16711	0.76 246%
chp_partload	5211	21951	0.91 233%
qspp_0_14_0_1_10_1	560	120834	0.28 150%
st_glmp_ss1	24	90	0.19 101%
torsion50	2508	32316	0.53 210%
st_rv2	40	380	0.24 103%
emfl100_3_3	6885	22833	0.28 253%
pedigree_sim400	351	23897	0.17 181%
polygon75	5846	55498	0.00 66%
gabriel10	244056	1392266	0.44 117%
fo9_ar25_1	1049	5385	0.33 183%
rsyn0840m	1159	4327	0.36 162%
gancns	548	3348	0.47 171%
o9_ar4_1	1049	5385	0.34 187%
ex1265a	123	683	0.31 107%
ex9_2_6	28	96	0.22 101%
qspp_0_13_0_1_10_1	481	89003	0.23 162%
slay04m	146	578	0.23 107%
st_e25	20	112	0.19 101%
ex8_4_1	32	132	0.24 101%
st_e07	19	79	0.24 100%
ex1225	26	92	0.22 100%
ndcc13	969	6851	0.69 195%
syn10m04m	1224	4608	0.32 174%
ex5_2_4	18	80	0.21 101%
st_m2	72	1298	0.22 114%
st_bpk1	16	60	0.19 100%
multiplants_stg1	736	4330	0.68 234%
powerflow0300p	11251	53169	0.90 191%
nd_netgen-3000-1-1-b-b-ns_7	33155	123155	0.96 164%
sonet23v4	803	7265	0.67 178%
pooling_sppa0pq	1649	25841	0.57 170%
multiplants_mtg1b	645	5049	0.55 178%
sssd18-08persp	338	1506	0.25 133%
ex9_1_2	19	73	0.23 100%
crudeoil_lee1_07	3670	22992	0.94 251%
pooling_haverly1tp	31	127	0.24 101%
waterund08	230	1520	0.27 131%
kall_diffcircles_6	76	378	0.22 104%
chimera_mgw-c8-439-onc8-001	440	3480	0.55 185%
waterund11	160	988	0.31 113%
chp_shorttermplan2d	16364	68472	0.92 202%
sporttournament18	156	1042	0.36 116%
cvxnonsep_psig30	30	900	0.00 90%
ringpack_20_2	6089	46457	0.53 280%
blend718	1386	5696	0.41 188%
wastepaper4	115	839	0.32 111%
squfl010-040persp	2450	9650	0.42 219%
crudeoil_lee4_06	10429	65921	1.05 211%
netmod_kar1	1746	6674	0.65 206%
ex8_1_7	14	60	0.18 101%
graphpart_3g-0333-0333	108	756	0.25 117%
slay05h	760	2840	0.37 144%
korcns	156	868	0.29 114%
powerflow0118p	5065	23795	0.79 228%
sfacloc2_3_80	4799	25399	0.72 274%
rsyn0820m04m	6028	23400	0.75 234%
hydroenergy1	1046	4070	0.20 187%
maxmin	181	1621	0.20 136%
st_ht	8	26	0.16 100%
crudeoil_lee2_06	6418	41064	0.82 217%
kan_r3_h1_n4	3183	17245	0.52 246%
primary	378	5988	0.34 180%
syn10m03hfsg	1071	3843	0.34 159%
wastewater02m1	36	174	0.26 101%
supplychainr1_022020	4620	20300	0.41 191%
squfl025-025persp	3800	15050	0.33 215%
ringpack_30_2	17999	139457	0.61 164%
nuclear104	39098	296904	0.60 177%
chp_shorttermplan1a	4952	20652	0.73 224%
rocket50	555	4043	0.50 195%
rsyn0840m04m	8508	32780	0.92 213%
mpbp_21	11716	49376	0.67 224%
orth_d4m6_pl	172	1268	0.25 124%
kall_circlespolygons_c1p5b	1681	9113	0.55 223%
acopf_case9241pegase_qcqp	313068	1605476	0.13 100%
ex1223	33	115	0.24 101%
ex6_1_4	10	58	0.17 100%
powerflow0014r	403	2033	0.31 137%
knp5-43	2065	33197	0.21 284%
gabriel09	21688	111390	0.78 164%
tln2	32	120	0.23 101%
prob02	22	98	0.21 101%
blend146	1422	5882	0.40 193%
mpbp_46	4518	19010	0.52 200%
tls6	413	3273	0.38 170%
emfl100_5_5	21925	74225	0.30 255%
qspp_0_11_0_1_10_1	341	44605	0.20 200%
p_ball_10b_5p_4d_m	403	1887	0.30 134%
st_rv9	90	930	0.25 112%
rsyn0840m02m	3486	13062	0.67 233%
nvs05	22	106	0.22 101%
autocorr_bern25-19	28	640	0.00 93%
sssd20-08persp	356	1588	0.25 133%
multiplants_stg5	827	4631	0.68 249%
chimera_rfr-02	2032	17172	0.77 237%
multiplants_stg1a	726	4236	0.66 228%
pooling_adhya4pq	170	1102	0.28 118%
nuclear10a	17493	181309	0.88 181%
sonet24v5	874	8134	0.63 185%
transswitch2736spr	69651	400661	0.23 106%
chp_shorttermplan2a	8992	35280	0.61 197%
catmix200	1001	6593	0.47 128%
nvs23	27	279	0.18 101%
oaer	20	60	0.19 101%
hybriddynamic_fixed	168	556	0.24 108%
edgecross24-115	16747	94099	0.65 176%
space25	1178	5512	0.34 181%
methanol400	23999	175727	1.09 157%
pooling_foulds5tp	1218	9582	0.58 222%
pooling_sppa9tp	5040	126342	0.61 269%
st_miqp2	10	28	0.00 91%
autocorr_bern30-23	33	911	0.00 91%
mpbp_15	9858	41550	0.87 203%
cvxnonsep_psig30r	126	376	0.00 92%
rsyn0830hfsg	1590	5690	0.48 171%
crudeoil_pooling_ct1	1271	5913	0.60 189%
multiplants_stg1c	800	4694	0.67 234%
st_pan1	11	43	0.17 100%
multiplants_stg1b	814	4806	0.70 241%
methanol200	11999	88127	0.59 209%
faclay35	26778	159158	0.51 131%
emfl050_5_5	13175	45475	0.17 247%
transswitch2383wpr	59853	337415	0.27 176%
chimera_lga-01	1120	7520	0.51 213%
gasprod_sarawak16	4596	19912	0.83 231%
crudeoil_lee4_09	15904	117696	1.13 197%
arki0013	44909	205081	0.68 243%
st_m1	42	474	0.21 104%
mpbp_47	5310	22408	0.75 248%
rsyn0815m	821	3063	0.48 169%
arki0016	7993	45201	0.85 276%
st_glmp_ss2	18	66	0.19 101%
rsyn0810m02hfsg	2670	9634	0.61 205%
pointpack06	55	331	0.20 103%
syn40m04hfsg	6328	23224	0.47 186%
clay0304m	258	1098	0.22 118%
pooling_foulds5pq	1218	9518	0.38 279%
clay0305hfsg	1000	3910	0.45 154%
st_test8	64	296	0.28 102%
gams05	17364	270274	0.48 201%
sporttournament08	31	187	0.24 102%
