tag	matrix	n	input_nnz	amd_flops	full_flops	seconds
FUNDED_ROW	emfl100_3_3	6885	15948	55506	55506	0.224706
FUNDED_ROW	pedigree_sim400	351	23546	1183471	1183168	0.000091
FUNDED_ROW	polygon75	5846	49652	1171822	1171822	0.000211
FUNDED_ROW	gabriel10	244056	1148210	1365442310	1267760679	0.416573
FUNDED_ROW	fo9_ar25_1	1049	4336	41668	38237	0.268748
FUNDED_ROW	rsyn0840m	1159	3168	11274	10602	0.293605
FUNDED_ROW	gancns	548	2800	69234	58861	0.367720
FUNDED_ROW	o9_ar4_1	1049	4336	41668	38237	0.264846
FUNDED_ROW	ex1265a	123	560	3948	3750	0.298918
FUNDED_ROW	ex9_2_6	28	68	190	190	0.143747
FUNDED_ROW	qspp_0_13_0_1_10_1	481	88522	10150185	10097446	0.169753
FUNDED_ROW	slay04m	146	432	1554	1554	0.215659
FUNDED_ROW	st_e25	20	92	336	262	0.000002
FUNDED_ROW	ex8_4_1	32	100	225	225	0.205572
FUNDED_ROW	st_e07	19	60	199	199	0.181888
FUNDED_ROW	ex1225	26	66	171	161	0.141235
FUNDED_ROW	ndcc13	969	5882	525212	324727	0.441295
FUNDED_ROW	syn10m04m	1224	3384	13501	13473	0.258764
FUNDED_ROW	ex5_2_4	18	62	204	193	0.171458
FUNDED_ROW	st_m2	72	1226	16331	16331	0.209109
FUNDED_ROW	st_bpk1	16	44	115	108	0.124773
FUNDED_ROW	multiplants_stg1	736	3594	197998	155496	0.457024
FUNDED_ROW	powerflow0300p	11251	41918	304705	292256	0.577877
FUNDED_ROW	nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	0.393300
FUNDED_ROW	sonet23v4	803	6462	139703	94348	0.432326
FUNDED_ROW	pooling_sppa0pq	1649	24192	3745896	1214182	0.345464
FUNDED_ROW	multiplants_mtg1b	645	4404	229415	152043	0.457358
FUNDED_ROW	sssd18-08persp	338	1168	4654	4654	0.280760
FUNDED_ROW	ex9_1_2	19	54	188	179	0.138524
FUNDED_ROW	crudeoil_lee1_07	3670	19322	4746188	3506452	0.605134
FUNDED_ROW	pooling_haverly1tp	31	96	423	403	0.188644
FUNDED_ROW	waterund08	230	1290	35284	30110	0.233192
FUNDED_ROW	kall_diffcircles_6	76	302	1511	1511	0.190350
FUNDED_ROW	chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	0.391808
FUNDED_ROW	waterund11	160	828	14818	10705	0.275337
FUNDED_ROW	chp_shorttermplan2d	16364	52108	4089003	1997381	0.539331
FUNDED_ROW	sporttournament18	156	886	17568	13608	0.322899
FUNDED_ROW	cvxnonsep_psig30	30	870	9455	9455	0.000007
FUNDED_ROW	ringpack_20_2	6089	40368	1872174	707413	0.346395
FUNDED_ROW	blend718	1386	4310	70355	61466	0.313405
FUNDED_ROW	wastepaper4	115	724	9711	7183	0.289366
FUNDED_ROW	squfl010-040persp	2450	7200	22825	22825	0.280990
FUNDED_ROW	crudeoil_lee4_06	10429	55492	65337120	32474991	0.731047
FUNDED_ROW	netmod_kar1	1746	4928	56838	43864	0.440056
