CAMPAIGN_ROW	watercontamination0303r	1310	37028	2171882	2171882	20194	2171882	2171882	2171882	2171882	2171882	2171882	2171882	2171882	2171882	2171882	2171882	2171882
CAMPAIGN_ROW	ex9_2_4	15	36	117	117	41	117	117	117	117	117	117	117	117	117	117	117	117
CAMPAIGN_ROW	sssd15-04	163	440	1625	1625	497	1625	1625	1625	1625	1625	1625	1625	1625	1625	1625	1625	1625
CAMPAIGN_ROW	autocorr_bern35-35fix	38	1264	16214	16214	670	16214	16214	16214	16214	16214	16214	16214	16214	16214	16214	16214	16214
CAMPAIGN_ROW	sfacloc2_4_90	1491	4500	31682	28843	5335	28843	28843	28843	28843	28843	28843	28843	28843	28843	28843	28843	28843
CAMPAIGN_ROW	cont6-qq	120395	557994	835894090	581918900	3410086	581918900	581918900	581918900	581918900	581918900	581918900	581918900	581918900	581918900	581918900	581918900	581918900
CAMPAIGN_ROW	meanvar-orl400_05_e_7	5205	174804	21939414	21935811	95007	21935811	21935811	21935811	21935811	21935811	21935811	21935811	21935811	21935811	21935811	21935811	21935811
CAMPAIGN_ROW	glider400	10017	49624	373018	327531	54133	327531	327531	327531	327531	327531	327531	327531	327531	327531	327531	327531	327531
CAMPAIGN_ROW	syn40m04m	4960	13792	65982	63265	15219	63265	63265	63265	63265	63265	63265	63265	63265	63265	63265	63265	63265
CAMPAIGN_ROW	ex2_1_3	31	72	189	189	73	189	189	189	189	189	189	189	189	189	189	189	189
CAMPAIGN_ROW	qapw	705	87496	12183146	12183146	69878	12183146	12183146	12183146	12183146	12183146	12183146	12183146	12183146	12183146	12183146	12183146	12183146
CAMPAIGN_ROW	himmel11	14	60	198	198	48	198	198	198	198	198	198	198	198	198	198	198	198
CAMPAIGN_ROW	syn15m04m	1908	5288	26094	25061	5853	25061	25061	25061	25061	25061	25061	25061	25061	25061	25061	25061	25061
CAMPAIGN_ROW	pooling_rt2tp	118	654	5876	5796	708	5796	5796	5796	5796	5796	5796	5796	5796	5796	5796	5796	5796
CAMPAIGN_ROW	waterund14	333	2204	200484	72184	3330	72184	72184	72184	72184	72184	72184	72184	72184	72184	72184	72184	72184
CAMPAIGN_ROW	crudeoil_lee4_10	17809	120632	294531623	184173410	690884	184173410	184173410	184173410	184173410	184173410	184173410	184173410	184173410	184173410	184173410	184173410	184173410
CAMPAIGN_ROW	pooling_foulds4pq	1294	8302	138692	138540	9768	138540	138540	138540	138540	138540	138540	138540	138540	138540	138540	138540	138540
CAMPAIGN_ROW	edgecross14-156	3097	19664	1487933	1376964	22658	1376964	1376964	1376964	1376964	1376964	1376964	1376964	1376964	1376964	1376964	1376964	1376964
CAMPAIGN_ROW	tspn08	72	668	11074	7600	602	7600	7600	7600	7600	7600	7600	7600	7600	7600	7600	7600	7600
CAMPAIGN_ROW	crudeoil_li05	4225	14628	680022	533531	25833	533531	533531	533531	533531	533531	533531	533531	533531	533531	533531	533531	533531
CAMPAIGN_ROW	procurement1large	14416	41068	13858240	7376882	108978	7375906	7373904	7376810	7376882	7376882	7374110	7372274	7372894	7372894	7374009	7374009	7373389
CAMPAIGN_ROW	blend721	1428	4548	77560	66143	6157	66143	66143	66143	66143	66143	66143	66143	66143	66143	66143	66143	66143
CAMPAIGN_ROW	chimera_selby-c16-02	2031	10878	4280329	2298935	48835	2298935	2298935	2298935	2298935	2298935	2298935	2298935	2298935	2298935	2298935	2298935	2298935
CAMPAIGN_ROW	supplychainr1_053050	16640	57800	2173490	2173490	77190	2173490	2173490	2173490	2173490	2173490	2173490	2173490	2173490	2173490	2173490	2173490	2173490
CAMPAIGN_ROW	sfacloc2_4_80	5067	21424	93048	88884	17868	88884	88884	88884	88884	88884	88884	88884	88884	88884	88884	88884	88884
CAMPAIGN_ROW	st_e24	10	26	64	57	23	57	57	57	57	57	57	57	57	57	57	57	57
CAMPAIGN_ROW	edgecross10-040	1053	5116	161851	143518	6034	143518	143518	143518	143518	143518	143518	143518	143518	143518	143518	143518	143518
CAMPAIGN_ROW	sonet21v6	8232	40744	1643311	1585871	40593	1585871	1585871	1585871	1585871	1585871	1585871	1585871	1585871	1585871	1585871	1585871	1585871
CAMPAIGN_ROW	squfl010-080	2490	6400	27665	27665	7335	27665	27665	27665	27665	27665	27665	27665	27665	27665	27665	27665	27665
CAMPAIGN_ROW	genpooling_lee2	221	1048	19895	14028	1302	14028	14028	14028	14028	14028	14028	14028	14028	14028	14028	14028	14028
CAMPAIGN_ROW	popdynm25	2807	13904	360081	286812	22528	286812	286812	286812	286812	286812	286812	286812	286812	286812	286812	286812	286812
CAMPAIGN_ROW	chp_partload	5211	16740	509170	373797	28209	373797	373797	373797	373797	373797	373797	373797	373797	373797	373797	373797	373797
CAMPAIGN_ROW	qspp_0_14_0_1_10_1	560	120274	16119226	16038266	67194	16038266	16038266	16038266	16038266	16038266	16038266	16038266	16038266	16038266	16038266	16038266	16038266
CAMPAIGN_ROW	st_glmp_ss1	24	66	160	160	60	160	160	160	160	160	160	160	160	160	160	160	160
CAMPAIGN_ROW	torsion50	2508	29808	1691033	1119054	42300	1119054	1119054	1119054	1119054	1119054	1119054	1119054	1119054	1119054	1119054	1119054	1119054
CAMPAIGN_ROW	st_rv2	40	340	2045	2045	255	2045	2045	2045	2045	2045	2045	2045	2045	2045	2045	2045	2045
CAMPAIGN_ROW	emfl100_3_3	6885	15948	55506	55506	18972	55506	55506	55506	55506	55506	55506	55506	55506	55506	55506	55506	55506
CAMPAIGN_ROW	pedigree_sim400	351	23546	1183471	1183168	12124	1183168	1183168	1183168	1183168	1183168	1183168	1183168	1183168	1183168	1183168	1183168	1183168
CAMPAIGN_ROW	polygon75	5846	49652	1171822	1171822	30672	1171822	1171822	1171822	1171822	1171822	1171822	1171822	1171822	1171822	1171822	1171822	1171822
CAMPAIGN_ROW	gabriel10	244056	1148210	1365442310	1267760679	4735821	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679
CAMPAIGN_ROW	fo9_ar25_1	1049	4336	41668	38237	4747	38237	38237	38237	38237	38237	38237	38237	38237	38237	38237	38237	38237
CAMPAIGN_ROW	rsyn0840m	1159	3168	11274	10602	3316	10602	10602	10602	10602	10602	10602	10602	10602	10602	10602	10602	10602
CAMPAIGN_ROW	gancns	548	2800	69234	58861	4041	58861	58861	58861	58861	58861	58861	58861	58861	58861	58861	58861	58861
CAMPAIGN_ROW	o9_ar4_1	1049	4336	41668	38237	4747	38237	38237	38237	38237	38237	38237	38237	38237	38237	38237	38237	38237
CAMPAIGN_ROW	ex1265a	123	560	3948	3750	588	3750	3750	3750	3750	3750	3750	3750	3750	3750	3750	3750	3750
CAMPAIGN_ROW	ex9_2_6	28	68	190	190	70	190	190	190	190	190	190	190	190	190	190	190	190
CAMPAIGN_ROW	qspp_0_13_0_1_10_1	481	88522	10150185	10097446	49486	10097446	10097446	10097446	10097446	10097446	10097446	10097446	10097446	10097446	10097446	10097446	10097446
CAMPAIGN_ROW	slay04m	146	432	1554	1554	450	1554	1554	1554	1554	1554	1554	1554	1554	1554	1554	1554	1554
CAMPAIGN_ROW	st_e25	20	92	336	262	66	262	262	262	262	262	262	262	262	262	262	262	262
CAMPAIGN_ROW	ex8_4_1	32	100	225	225	83	225	225	225	225	225	225	225	225	225	225	225	225
