COMPACT_CORE_WORK	2718	1170	4923	8000000	0.001444	32385
COMPACT_ROW	slay09h	2718	7488	36057	32385	32385	8703
COMPACT_CORE_WORK	974	902	11704	8000000	0.001431	329556
COMPACT_ROW	ndcc12	974	5982	345696	329556	329556	12112
COMPACT_CORE_WORK	1306	924	6771	8000000	0.001735	74610
COMPACT_ROW	kall_circlesrectangles_c6r39	1306	5378	75744	74610	74610	7868
COMPACT_CORE_WORK	9170	3170	12360	20152000	0.007371	135020
COMPACT_ROW	squfl020-150	9170	24000	135020	135020	135020	27360
COMPACT_ROW	autocorr_bern40-30	43	1534	20034	20034	20034	810
COMPACT_CORE_WORK	660	268	1116	8000000	0.001672	7796
COMPACT_ROW	slay08m	660	2016	7796	7796	7796	2068
COMPACT_ROW	chimera_mgw-c16-2031-01	2032	15900	3328073	2565876	2565876	53470
COMPACT_CORE_WORK	713	404	1764	8000000	0.002109	10543
COMPACT_ROW	forest	713	2658	10614	10543	10543	2445
COMPACT_ROW	qspp_0_10_0_1_10_1	280	29636	1942907	1932414	1932414	16660
COMPACT_ROW	st_ph1	16	58	274	233	233	55
COMPACT_CORE_WORK	124	41	245	8000000	0.002180	2173
COMPACT_ROW	elf	124	376	2733	2173	2173	441
COMPACT_ROW	ex3_1_3	18	36	90	83	83	37
COMPACT_ROW	cvxnonsep_normcon40r	162	322	645	645	645	323
COMPACT_CORE_WORK	155	66	394	8000000	0.002213	3426
COMPACT_ROW	demo7	155	618	3579	3426	3426	620
COMPACT_ROW	waternd2	615	2580	155674	74817	74817	4059
COMPACT_CORE_WORK	64	42	213	8000000	0.002519	1225
COMPACT_ROW	prolog	64	292	1245	1225	1225	257
COMPACT_ROW	ex14_1_8	11	30	80	80	80	28
COMPACT_ROW	faclay75	272878	1379706	3204527350	3013800414	3013800414	3449330
COMPACT_ROW	st_qpk3	55	548	5467	3762	3762	374
COMPACT_ROW	mpbp_34	11556	40860	3093917	891674	891674	62446
COMPACT_ROW	cvxnonsep_normcon20r	82	162	325	325	325	163
COMPACT_ROW	cvxnonsep_psig20r	86	170	341	341	341	171
COMPACT_ROW	crudeoil_pooling_dt2	18742	75910	14985540	9947932	9947932	174214
COMPACT_CORE_WORK	2868	1596	7444	8000000	0.002767	54853
COMPACT_ROW	rsyn0805m03m	2868	8270	60979	54853	54853	10111
COMPACT_ROW	st_iqpbk1	22	98	295	295	295	71
COMPACT_CORE_WORK	96	47	275	8000000	0.001976	3317
COMPACT_ROW	waterund01	96	404	4546	3317	3317	457
COMPACT_ROW	pointpack04	29	120	577	577	577	113
COMPACT_ROW	st_e22	12	30	77	70	70	28
COMPACT_ROW	faclay30	16678	82242	13452923	12850431	12850431	116585
COMPACT_CORE_WORK	4432	2608	22529	28345224	0.006679	667374
COMPACT_ROW	arki0002	4432	11248	683476	667374	667374	27906
COMPACT_CORE_WORK	11659	6750	40259	122248480	0.015796	377741
COMPACT_ROW	transswitch0300p	11659	48446	404940	377741	377741	51785
COMPACT_ROW	crudeoil_pooling_dt3	30660	152210	48975085	33883414	33883414	471330
COMPACT_ROW	gasprod_sarawak81	22536	75636	1030380	941231	941231	110997
COMPACT_ROW	maxcsp-langford-3-11	660	29646	33444033	10360919	10360919	72709
COMPACT_CORE_WORK	1543	999	4262	8000000	0.001525	25742
COMPACT_ROW	p_ball_30b_5p_2d_h	1543	5224	25843	25742	25742	5370
COMPACT_ROW	ringpack_20_3	6709	45220	2415136	865627	865627	40969
COMPACT_CORE_WORK	4825	2503	30627	36874768	0.005059	1270649
COMPACT_ROW	waste	4825	21504	1468261	1270649	1270649	38413
COMPACT_CORE_WORK	2001	1998	8385	9322032	0.001457	36364
COMPACT_ROW	catmix400	2001	11192	36373	36364	36364	8396
COMPACT_CORE_WORK	3054	1697	6879	8000000	0.001955	41416
COMPACT_ROW	rsyn0815m02hfsg	3054	7968	44604	41416	41416	9904
COMPACT_CORE_WORK	1236	751	3403	8000000	0.001619	23744
COMPACT_ROW	p_ball_10b_7p_3d_h	1236	4186	24380	23744	23744	4436
COMPACT_ROW	chimera_k64ising-02	1225	3846	613390	371142	371142	11742
COMPACT_CORE_WORK	3404	1725	9818	9166432	0.002159	128816
COMPACT_ROW	batchs121208m	3404	11462	138030	128816	128816	13224
COMPACT_ROW	nvs02	11	46	142	142	142	36
