name	n	nnz	AMD_flops	parent_flops	candidate_flops	parent_factor_nnz
ex1225	26	66	171	161	161	63
ndcc13	969	5882	525212	324727	324727	12325
syn10m04m	1224	3384	13501	13473	13473	3639
ex5_2_4	18	62	204	193	193	55
st_m2	72	1226	16331	16331	16331	895
st_bpk1	16	44	115	108	108	40
multiplants_stg1	736	3594	197998	155496	155496	6926
powerflow0300p	11251	41918	304705	292101	291917	45391
nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	885186	101542
sonet23v4	803	6462	139703	94348	94348	6246
pooling_sppa0pq	1649	24192	3745896	1214182	1214182	31968
multiplants_mtg1b	645	4404	229415	152043	152043	6901
sssd18-08persp	338	1168	4654	4654	4654	1142
ex9_1_2	19	54	188	179	179	57
crudeoil_lee1_07	3670	19322	4746188	3513213	3506832	52939
pooling_haverly1tp	31	96	423	403	403	105
waterund08	230	1290	35284	30110	30110	1770
kall_diffcircles_6	76	302	1511	1511	1511	281
chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	80090	5060
waterund11	160	828	14818	10705	10705	989
chp_shorttermplan2d	16364	52108	4089003	2104724	2104724	82190
sporttournament18	156	886	17568	13608	13608	1328
cvxnonsep_psig30	30	870	9455	9455	9455	465
ringpack_20_2	6089	40368	1872174	707413	707413	36329
blend718	1386	4310	70355	61466	61466	5842
wastepaper4	115	724	9711	7183	7183	807
squfl010-040persp	2450	7200	22825	22825	22825	6895
crudeoil_lee4_06	10429	55492	65337120	32834025	32834025	235115
netmod_kar1	1746	4928	56838	43864	43864	6364
ex8_1_7	14	46	137	128	128	40
graphpart_3g-0333-0333	108	648	44928	36228	36228	1594
slay05h	760	2080	9815	8795	8795	2425
korcns	156	712	7241	6599	6599	887
powerflow0118p	5065	18730	121503	117327	117327	20045
sfacloc2_3_80	4799	20600	84672	81119	81119	16813
rsyn0820m04m	6028	17372	196890	152980	152980	21916
hydroenergy1	1046	3024	14089	14089	14089	3435
maxmin	181	1440	8405	8405	8405	925
st_ht	8	18	51	44	44	18
crudeoil_lee2_06	6418	34646	23299675	16574163	16450647	134923
kan_r3_h1_n4	3183	14062	104945	98715	98715	15597
primary	378	5610	109639	95258	95258	3428
syn10m03hfsg	1071	2772	9890	9812	9812	3040
wastewater02m1	36	138	848	790	790	156
supplychainr1_022020	4620	15680	273140	273100	273100	20540
squfl025-025persp	3800	11250	49925	49925	49925	10975
ringpack_30_2	17999	121458	12394600	2873684	2873684	108470
nuclear104	39098	257806	103156931	78332024	78332024	523338
chp_shorttermplan1a	4952	15700	376486	301258	300695	22620
rocket50	555	3488	19983	19265	19265	3185
rsyn0840m04m	8508	24272	229914	186241	186241	29583
mpbp_21	11716	37660	1691114	1456963	1456963	65805
orth_d4m6_pl	172	1096	10938	10703	10703	1019
kall_circlespolygons_c1p5b	1681	7432	201759	193841	193841	11831
acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	33736789	1988065
ex1223	33	82	244	244	244	86
ex6_1_4	10	48	197	153	153	37
powerflow0014r	403	1630	10761	10361	10361	1783
knp5-43	2065	31132	3517788	3517788	3517788	36336
gabriel09	21688	89702	29373994	26366112	26366112	228634
tln2	32	88	233	233	233	83
prob02	22	76	267	232	232	66
blend146	1422	4460	78102	64296	64296	6042
mpbp_46	4518	14492	499547	447643	447603	24571
tls6	413	2860	18483	17511	17511	2429
emfl100_5_5	21925	52300	221650	221650	221650	62300
qspp_0_11_0_1_10_1	341	44264	3563707	3531915	3531915	24763
p_ball_10b_5p_4d_m	403	1484	13581	13288	13288	1736
st_rv9	90	840	6691	6321	6321	679
rsyn0840m02m	3486	9576	47529	44981	44981	10989
nvs05	22	84	277	266	266	72
autocorr_bern25-19	28	612	5278	5278	5278	334
sssd20-08persp	356	1232	4960	4960	4960	1208
