tag	matrix	n	factor_nnz	seed_flops	old_seconds	new_seconds	old_peo_recon	new_peo_recon	old_lex_calls	new_lex_calls
STATE_GATE_COST_ROW	slay08m	660	2068	7796	0.000286	0.000105	1	0	1	0
STATE_GATE_COST_ROW	chimera_mgw-c16-2031-01	2032	53436	2560646	0.002922	0.000963	1	0	1	0
STATE_GATE_COST_ROW	forest	713	2445	10543	0.000366	0.000135	1	0	1	0
STATE_GATE_COST_ROW	qspp_0_10_0_1_10_1	280	16660	1932414	0.001972	0.000712	1	0	1	0
STATE_GATE_COST_ROW	st_ph1	16	55	233	0.000010	0.000003	1	0	1	0
STATE_GATE_COST_ROW	elf	124	441	2173	0.000058	0.000020	1	0	1	0
STATE_GATE_COST_ROW	ex3_1_3	18	37	83	0.000009	0.000003	1	0	1	0
STATE_GATE_COST_ROW	cvxnonsep_normcon40r	162	323	645	0.000061	0.000023	1	0	1	0
STATE_GATE_COST_ROW	demo7	155	620	3426	0.000082	0.000028	1	0	1	0
STATE_GATE_COST_ROW	waternd2	615	4059	74817	0.000362	0.000129	1	0	1	0
STATE_GATE_COST_ROW	prolog	64	257	1225	0.000036	0.000012	1	0	1	0
STATE_GATE_COST_ROW	ex14_1_8	11	28	80	0.000009	0.000002	1	0	1	0
STATE_GATE_COST_ROW	faclay75	272878	3449330	3013800414	0.000000	0.000000	0	0	0	0
STATE_GATE_COST_ROW	st_qpk3	55	374	3762	0.000045	0.000016	1	0	1	0
STATE_GATE_COST_ROW	mpbp_34	11556	62428	891278	0.007079	0.002831	1	0	1	0
STATE_GATE_COST_ROW	cvxnonsep_normcon20r	82	163	325	0.000032	0.000011	1	0	1	0
STATE_GATE_COST_ROW	cvxnonsep_psig20r	86	171	341	0.000033	0.000012	1	0	1	0
STATE_GATE_COST_ROW	crudeoil_pooling_dt2	18742	174213	9947927	0.014966	0.005765	1	0	1	0
STATE_GATE_COST_ROW	rsyn0805m03m	2868	10111	54853	0.001563	0.000610	1	0	1	0
STATE_GATE_COST_ROW	st_iqpbk1	22	71	295	0.000014	0.000004	1	0	1	0
STATE_GATE_COST_ROW	waterund01	96	457	3317	0.000055	0.000018	1	0	1	0
STATE_GATE_COST_ROW	pointpack04	29	113	577	0.000017	0.000006	1	0	1	0
STATE_GATE_COST_ROW	st_e22	12	28	70	0.000012	0.000002	1	0	1	0
STATE_GATE_COST_ROW	faclay30	16678	116585	12850431	0.012019	0.004824	1	0	1	0
STATE_GATE_COST_ROW	arki0002	4432	27906	667374	0.002766	0.001110	1	0	1	0
STATE_GATE_COST_ROW	transswitch0300p	11659	51636	374416	0.008297	0.003269	1	0	1	0
STATE_GATE_COST_ROW	crudeoil_pooling_dt3	30660	471303	33883039	0.034658	0.012849	1	0	1	0
STATE_GATE_COST_ROW	gasprod_sarawak81	22536	110997	941231	0.013905	0.005933	1	0	1	0
STATE_GATE_COST_ROW	maxcsp-langford-3-11	660	72709	10360919	0.004023	0.001332	1	0	1	0
STATE_GATE_COST_ROW	p_ball_30b_5p_2d_h	1543	5370	25742	0.000749	0.000290	1	0	1	0
STATE_GATE_COST_ROW	ringpack_20_3	6709	40969	865627	0.004783	0.001861	1	0	1	0
STATE_GATE_COST_ROW	waste	4825	38413	1270649	0.003482	0.001357	1	0	1	0
STATE_GATE_COST_ROW	catmix400	2001	8396	36364	0.001166	0.000434	1	0	1	0
STATE_GATE_COST_ROW	rsyn0815m02hfsg	3054	9902	41384	0.001704	0.000671	1	0	1	0
STATE_GATE_COST_ROW	p_ball_10b_7p_3d_h	1236	4436	23744	0.000599	0.000224	1	0	1	0
STATE_GATE_COST_ROW	chimera_k64ising-02	1225	11742	371142	0.001097	0.000395	1	0	1	0
STATE_GATE_COST_ROW	batchs121208m	3404	13224	128816	0.001744	0.000682	1	0	1	0
STATE_GATE_COST_ROW	nvs02	11	36	142	0.000008	0.000003	1	0	1	0
STATE_GATE_COST_ROW	wastepaper6	191	1511	16611	0.000138	0.000047	1	0	1	0
STATE_GATE_COST_ROW	syn15hfsg	399	1106	3272	0.000180	0.000064	1	0	1	0
STATE_GATE_COST_ROW	st_jcbpaf2	36	199	1543	0.000026	0.000009	1	0	1	0
STATE_GATE_COST_ROW	camshape400	2000	5594	16768	0.000892	0.000348	1	0	1	0
STATE_GATE_COST_ROW	graphpart_clique-30	120	3027	91153	0.000211	0.000065	1	0	1	0
STATE_GATE_COST_ROW	graphpart_clique-70	280	15796	1144894	0.001053	0.000333	1	0	1	0
STATE_GATE_COST_ROW	smallinvDAXr1b010-011	39	599	13319	0.000065	0.000022	1	0	1	0
STATE_GATE_COST_ROW	nd_netgen-2000-3-4-b-a-ns_7	22074	64374	273394	0.012075	0.005041	1	0	1	0
STATE_GATE_COST_ROW	slay05m	240	745	2635	0.000106	0.000038	1	0	1	0
STATE_GATE_COST_ROW	chimera_selby-c16-01	2031	50246	2419538	0.002951	0.000968	1	0	1	0
STATE_GATE_COST_ROW	csched1	110	323	975	0.000054	0.000019	1	0	1	0
STATE_GATE_COST_ROW	watercontamination0303r	1310	20194	2171882	0.002112	0.000748	1	0	1	0
STATE_GATE_COST_ROW	ex9_2_4	15	41	117	0.000009	0.000003	1	0	1	0
STATE_GATE_COST_ROW	sssd15-04	163	497	1625	0.000075	0.000027	1	0	1	0
STATE_GATE_COST_ROW	autocorr_bern35-35fix	38	670	16214	0.000069	0.000023	1	0	1	0
STATE_GATE_COST_ROW	sfacloc2_4_90	1491	5335	28843	0.000758	0.000289	1	0	1	0
STATE_GATE_COST_ROW	cont6-qq	120395	3410086	581918900	0.000000	0.000000	0	0	0	0
STATE_GATE_COST_ROW	meanvar-orl400_05_e_7	5205	95007	21935811	0.009561	0.003487	1	0	1	0
STATE_GATE_COST_ROW	glider400	10017	54123	327461	0.006737	0.002813	1	0	1	0
STATE_GATE_COST_ROW	syn40m04m	4960	15219	63265	0.002676	0.001070	1	0	1	0
STATE_GATE_COST_ROW	ex2_1_3	31	73	189	0.000015	0.000005	1	0	1	0
STATE_GATE_COST_ROW	qapw	705	69878	12183146	0.005512	0.001934	1	0	1	0
STATE_GATE_COST_ROW	himmel11	14	48	198	0.000011	0.000003	1	0	1	0
STATE_GATE_COST_ROW	syn15m04m	1908	5853	25061	0.001002	0.000385	1	0	1	0
STATE_GATE_COST_ROW	pooling_rt2tp	118	708	5796	0.000078	0.000026	1	0	1	0
STATE_GATE_COST_ROW	waterund14	333	3330	72184	0.000264	0.000086	1	0	1	0
STATE_GATE_COST_ROW	crudeoil_lee4_10	17809	679883	176348241	0.077325	0.077518	4	4	1	1
STATE_GATE_COST_ROW	pooling_foulds4pq	1294	9768	138540	0.000915	0.000328	1	0	1	0
STATE_GATE_COST_ROW	edgecross14-156	3097	22658	1376964	0.002497	0.000969	1	0	1	0
STATE_GATE_COST_ROW	tspn08	72	602	7600	0.000060	0.000019	1	0	1	0
STATE_GATE_COST_ROW	crudeoil_li05	4225	25833	533531	0.002829	0.001065	1	0	1	0
STATE_GATE_COST_ROW	procurement1large	14416	108944	7372274	0.011642	0.004472	1	0	1	0
STATE_GATE_COST_ROW	blend721	1428	6157	66143	0.000787	0.000286	1	0	1	0
STATE_GATE_COST_ROW	chimera_selby-c16-02	2031	48833	2298651	0.002948	0.000979	1	0	1	0
STATE_GATE_COST_ROW	supplychainr1_053050	16640	77190	2173490	0.009393	0.003798	1	0	1	0
STATE_GATE_COST_ROW	sfacloc2_4_80	5067	17868	88884	0.003001	0.001190	1	0	1	0
STATE_GATE_COST_ROW	st_e24	10	23	57	0.000007	0.000002	1	0	1	0
STATE_GATE_COST_ROW	edgecross10-040	1053	6034	143518	0.000661	0.000238	1	0	1	0
STATE_GATE_COST_ROW	sonet21v6	8232	40593	1585871	0.005188	0.002029	1	0	1	0
STATE_GATE_COST_ROW	squfl010-080	2490	7335	27665	0.001144	0.000448	1	0	1	0
STATE_GATE_COST_ROW	genpooling_lee2	221	1302	14028	0.000137	0.000045	1	0	1	0
STATE_GATE_COST_ROW	popdynm25	2807	22528	286812	0.002271	0.000831	1	0	1	0
STATE_GATE_COST_ROW	chp_partload	5211	28196	373134	0.004386	0.001657	1	0	1	0
STATE_GATE_COST_ROW	qspp_0_14_0_1_10_1	560	67194	16038266	0.007387	0.003002	1	0	1	0
STATE_GATE_COST_ROW	st_glmp_ss1	24	60	160	0.000013	0.000004	1	0	1	0
STATE_GATE_COST_ROW	torsion50	2508	42300	1119054	0.003049	0.001065	1	0	1	0
STATE_GATE_COST_ROW	st_rv2	40	255	2045	0.000031	0.000010	1	0	1	0
STATE_GATE_COST_ROW	emfl100_3_3	6885	18972	55506	0.003356	0.001366	1	0	1	0
STATE_GATE_COST_ROW	pedigree_sim400	351	12124	1183168	0.001216	0.000430	1	0	1	0
STATE_GATE_COST_ROW	polygon75	5846	30672	1171822	0.004308	0.001652	1	0	1	0
STATE_GATE_COST_ROW	gabriel10	244056	4735821	1267760679	0.000000	0.000000	0	0	0	0
STATE_GATE_COST_ROW	fo9_ar25_1	1049	4747	38237	0.000569	0.000214	1	0	1	0
