=== w=12 s=12 ===
4.2174	chimera_selby-c16-02	2031	10878	0.5366
4.1149	rsyn0810m04m	4772	13836	0.7672
4.0045	chimera_selby-c16-01	2031	10964	0.6666
3.6674	ndcc12	974	5982	0.9533
3.0827	mpbp_47	5310	17098	0.8927
3.0784	popdynm25	2807	13904	0.7962
3.0472	chimera_k64ising-02	1225	3846	0.6051
3.0072	waste	4825	21504	0.8654
2.7017	syn40m04m	4960	13792	0.9588
2.6441	batchs121208m	3404	11462	0.9332
2.5776	catmix400	2001	11192	0.9998
2.4323	rsyn0815m02hfsg	3054	7968	0.9278
2.0601	arki0002	4432	11248	0.9764
1.7261	p_ball_10b_7p_3d_h	1236	4186	0.9739
=== w=14 s=8 ===
4.5916	chimera_selby-c16-02	2031	10878	0.5359
4.4293	chimera_selby-c16-01	2031	10964	0.6671
3.8888	popdynm25	2807	13904	0.7957
3.5435	rsyn0810m04m	4772	13836	0.7672
3.3466	mpbp_47	5310	17098	0.8927
3.3250	chimera_k64ising-02	1225	3846	0.6051
3.2915	ndcc12	974	5982	0.9527
3.2300	waste	4825	21504	0.8654
2.8346	batchs121208m	3404	11462	0.9332
2.8322	rsyn0815m02hfsg	3054	7968	0.9278
2.7040	syn40m04m	4960	13792	0.9588
2.5633	catmix400	2001	11192	0.9998
2.3398	arki0002	4432	11248	0.9764
1.8000	p_ball_10b_7p_3d_h	1236	4186	0.9739
=== w=14 s=10 ===
4.6601	chimera_selby-c16-02	2031	10878	0.5359
4.6397	chimera_selby-c16-01	2031	10964	0.6671
3.8247	popdynm25	2807	13904	0.7957
3.5875	chimera_k64ising-02	1225	3846	0.6035
3.5320	rsyn0810m04m	4772	13836	0.7672
3.4340	mpbp_47	5310	17098	0.8927
3.4142	waste	4825	21504	0.8654
3.2896	ndcc12	974	5982	0.9527
2.9898	rsyn0815m02hfsg	3054	7968	0.9278
2.7522	syn40m04m	4960	13792	0.9588
2.7109	batchs121208m	3404	11462	0.9332
2.5462	catmix400	2001	11192	0.9998
2.4955	arki0002	4432	11248	0.9764
1.8941	p_ball_10b_7p_3d_h	1236	4186	0.9739
