name	n	nnz	amd_flops	control05_flops	final_flops	control05_factor_nnz	added_screen_seconds
chimera_mgw-c16-2031-01	2032	15900	3328073	2565876	2561396	53470	0.010705
forest	713	2658	10614	10543	10543	2445	0.000376
qspp_0_10_0_1_10_1	280	29636	1942907	1932414	1932414	16660	0.002387
st_ph1	16	58	274	233	233	55	0.000016
elf	124	376	2733	2173	2173	441	0.000070
ex3_1_3	18	36	90	83	83	37	0.000013
cvxnonsep_normcon40r	162	322	645	645	645	323	0.000056
demo7	155	618	3579	3426	3426	620	0.000101
waternd2	615	2580	155674	74817	74817	4059	0.000513
prolog	64	292	1245	1225	1225	257	0.000050
ex14_1_8	11	30	80	80	80	28	0.000010
faclay75	272878	1379706	3204527350	3013800414	3013800414	3449330	0.000000
st_qpk3	55	548	5467	3762	3762	374	0.000061
mpbp_34	11556	40860	3093917	891674	891674	62446	0.009264
cvxnonsep_normcon20r	82	162	325	325	325	163	0.000036
cvxnonsep_psig20r	86	170	341	341	341	171	0.000029
crudeoil_pooling_dt2	18742	75910	14985540	9947932	9947932	174214	0.000000
rsyn0805m03m	2868	8270	60979	54853	54853	10111	0.001653
st_iqpbk1	22	98	295	295	295	71	0.000021
waterund01	96	404	4546	3317	3317	457	0.000078
pointpack04	29	120	577	577	577	113	0.000026
st_e22	12	30	77	70	70	28	0.000010
faclay30	16678	82242	13452923	12850431	12850431	116585	0.000000
arki0002	4432	11248	683476	667374	667374	27906	0.003406
transswitch0300p	11659	48446	404940	377741	377741	51785	0.008901
crudeoil_pooling_dt3	30660	152210	48975085	33883414	33883414	471330	0.000000
gasprod_sarawak81	22536	75636	1030380	941231	941231	110997	0.000000
maxcsp-langford-3-11	660	29646	33444033	10360919	10360919	72709	0.008205
p_ball_30b_5p_2d_h	1543	5224	25843	25742	25742	5370	0.000765
ringpack_20_3	6709	45220	2415136	865627	865627	40969	0.005769
waste	4825	21504	1468261	1270649	1270649	38413	0.004929
catmix400	2001	11192	36373	36364	36364	8396	0.001154
rsyn0815m02hfsg	3054	7968	44604	41416	41416	9904	0.001798
p_ball_10b_7p_3d_h	1236	4186	24380	23744	23744	4436	0.000638
chimera_k64ising-02	1225	3846	613390	371142	371142	11742	0.001593
batchs121208m	3404	11462	138030	128816	128816	13224	0.001915
nvs02	11	46	142	142	142	36	0.000014
wastepaper6	191	1416	16611	16611	16611	1511	0.000192
syn15hfsg	399	1022	3300	3272	3272	1106	0.000215
st_jcbpaf2	36	246	1635	1543	1543	199	0.000037
camshape400	2000	7188	16768	16768	16768	5594	0.000826
graphpart_clique-30	120	2790	114505	91153	91153	3027	0.000329
graphpart_clique-70	280	14910	1413012	1144894	1144894	15796	0.001676
smallinvDAXr1b010-011	39	1120	13510	13319	13319	599	0.000078
nd_netgen-2000-3-4-b-a-ns_7	22074	60000	289420	273394	273394	64374	0.000000
slay05m	240	720	2635	2635	2635	745	0.000115
chimera_selby-c16-01	2031	10964	3605628	2421342	2420818	50264	0.011409
csched1	110	376	975	975	975	323	0.000062
watercontamination0303r	1310	37028	2171882	2171882	2171882	20194	0.002419
ex9_2_4	15	36	117	117	117	41	0.000014
sssd15-04	163	440	1625	1625	1625	497	0.000081
autocorr_bern35-35fix	38	1264	16214	16214	16214	670	0.000085
sfacloc2_4_90	1491	4500	31682	28843	28843	5335	0.000799
cont6-qq	120395	557994	835894090	581918900	581918900	3410086	0.000000
meanvar-orl400_05_e_7	5205	174804	21939414	21935811	21935811	95007	0.000000
glider400	10017	49624	373018	327531	327531	54133	0.007471
syn40m04m	4960	13792	65982	63265	63265	15219	0.002662
ex2_1_3	31	72	189	189	189	73	0.000022
qapw	705	87496	12183146	12183146	12183146	69878	0.000000
himmel11	14	60	198	198	198	48	0.000016
syn15m04m	1908	5288	26094	25061	25061	5853	0.001032
pooling_rt2tp	118	654	5876	5796	5796	708	0.000108
waterund14	333	2204	200484	72184	72184	3330	0.000409
crudeoil_lee4_10	17809	120632	294531623	184173410	184173410	690884	0.000000
pooling_foulds4pq	1294	8302	138692	138540	138540	9768	0.001204
edgecross14-156	3097	19664	1487933	1376964	1376964	22658	0.003106
tspn08	72	668	11074	7600	7600	602	0.000091
crudeoil_li05	4225	14628	680022	533531	533531	25833	0.003579
procurement1large	14416	41068	13858240	7376882	7372894	108978	0.030282
blend721	1428	4548	77560	66143	66143	6157	0.000904
chimera_selby-c16-02	2031	10878	4280329	2298935	2298935	48835	0.005694
