slay06m	357	1437	0.25 126%	
sssd25-08	401	1601	0.29 131%	
rsyn0810m04m	4772	18608	0.75 231%	
pooling_sppc3pq	23173	916897	0.54 177%	
sporttournament48	1131	7807	0.58 181%	
pooling_sppa9pq	5030	125760	0.35 263%	
edgecross10-090	1053	6257	0.34 207%	
maxcsp-ehi-85-297-71	2372	210368	0.22 167%	
st_bpaf1a	30	150	0.24 101%	
risk2bpb	1462	6858	0.53 193%	
qap	255	44003	0.18 165%	
rsyn0830m04m	7252	28004	0.73 219%	
lop97icx	1073	3191	0.27 164%	
chain400	1201	5997	0.47 153%	
mpbp_07	9532	40342	0.80 211%	
sonetgr17	440	3398	0.36 164%	
p_ball_30b_7p_2d_h	2207	9723	0.42 185%	
pinene200	19995	117985	0.90 194%	
unitcommit_200_100_1_mod_8	146830	623162	0.38 166%	
ex8_3_9	123	957	0.31 112%	
rsyn0820m02m	2486	9418	0.52 182%	
p_ball_10b_5p_2d_m	293	1257	0.27 118%	
pooling_adhya4tp	170	1106	0.25 117%	
squfl015-080persp	7295	28895	0.40 227%	
edgecross10-080	1053	6993	0.33 217%	
clay0204hfsg	590	2286	0.32 142%	
st_bsj2	13	53	0.17 101%	
chimera_mgw-c8-439-onc8-002	440	3478	0.48 189%	
batchs201210m	5188	23098	0.67 259%	
rsyn0815m04m	5456	21212	0.80 218%	
syn40m	560	2088	0.35 134%	
knp5-44	2157	34761	0.29 225%	
ex1263a	94	484	0.27 105%	
st_e41	8	40	0.00 91%	
squfl025-030	2305	8305	0.37 188%	
wastewater05m1	98	634	0.27 108%	
cvxnonsep_psig20	20	400	0.00 91%	
meanvar-orl400_05_e_8	4405	176009	0.22 138%	
st_e31	301	1045	0.26 115%	
pooling_sppc1pq	14100	491780	0.39 236%	
pooling_haverly1pq	31	127	0.24 101%	
graphpart_3g-0244-0244	128	800	0.28 116%	
graphpart_clique-20	80	1340	0.28 111%	
mpbp_48	28368	119384	0.96 186%	
pooling_sppb5pq	18529	692999	0.42 172%	
slay07m	497	2009	0.28 140%	
nvs19	24	224	0.18 101%	
oil	3270	11700	0.55 225%	
squfl015-060	2775	9975	0.46 206%	
ndcc12persp	1112	6634	0.41 228%	
kissing2	20772	421796	0.28 220%	
nuclear25a	1942	17972	0.67 239%	
clay0204m	222	926	0.24 113%	
st_ph13	23	91	0.19 101%	
edgecross10-030	1053	5707	0.41 191%	
chain200	601	2997	0.43 141%	
ex1223b	25	91	0.23 100%	
slay09h	2718	10206	0.38 194%	
ndcc12	974	6956	0.63 188%	
kall_circlesrectangles_c6r39	1306	6684	0.42 196%	
squfl020-150	9170	33170	0.53 232%	
autocorr_bern40-30	43	1577	0.00 84%	
slay08m	660	2676	0.32 156%	
chimera_mgw-c16-2031-01	2032	17932	0.66 222%	
forest	713	3371	0.43 179%	
qspp_0_10_0_1_10_1	280	29916	0.19 201%	
st_ph1	16	74	0.20 101%	
elf	124	500	0.26 105%	
ex3_1_3	18	54	0.19 100%	
cvxnonsep_normcon40r	162	484	0.00 93%	
demo7	155	773	0.27 112%	
waternd2	615	3195	0.43 184%	
prolog	64	356	0.27 103%	
ex14_1_8	11	41	0.17 100%	
faclay75	272878	1652584	0.15 99%	
st_qpk3	55	603	0.18 105%	
mpbp_34	11556	52416	0.86 164%	
cvxnonsep_normcon20r	82	244	0.00 86%	
cvxnonsep_psig20r	86	256	0.00 0%	
crudeoil_pooling_dt2	18742	94652	0.91 188%	
rsyn0805m03m	2868	11138	0.71 217%	
st_iqpbk1	22	120	0.00 91%	
waterund01	96	500	0.30 104%	
pointpack04	29	149	0.22 101%	
st_e22	12	42	0.15 101%	
faclay30	16678	98920	0.53 154%	
arki0002	4432	15680	0.57 190%	
transswitch0300p	11659	60105	0.87 181%	
