tag	fixture	n	input_nnz	old_seconds	new_seconds	old_flops	new_flops	old_factor_nnz
CAMPAIGN_STRESS	random_n2048_links4	2048	16356	0.678910	0.373772	287672073	291591643	479783
CAMPAIGN_STRESS	random_n2048_links20	2048	81176	0.372998	0.257089	1563953334	1563953334	1436668
CAMPAIGN_STRESS	random_n2048_links40	2048	160592	0.252842	0.253915	2052595742	2052595742	1712998
CAMPAIGN_STRESS	random_n8000_links2	8000	31994	0.804947	0.582365	2313914749	2314764727	1914683
CAMPAIGN_STRESS	random_n8000_links4	8000	63982	0.825641	0.608113	17375182561	17407757184	7147973
CAMPAIGN_STRESS	random_n8000_links8	8000	127850	0.800185	0.799032	46260820576	46260820576	13603724
CAMPAIGN_STRESS	random_n8000_links10	8000	159768	0.553828	0.551726	58257439844	58257439844	15844720
CAMPAIGN_STRESS	random_n12000_links4	12000	95972	0.549825	0.547512	58806390558	58806390558	16028994
CAMPAIGN_STRESS	grid32	1024	3968	0.327908	0.328991	195080	195080	11000
CAMPAIGN_STRESS	grid64	4096	16128	0.504463	0.503803	1848964	1848964	58838
CAMPAIGN_STRESS	grid96	9216	36480	0.553877	0.554190	6741195	6741195	152785
CAMPAIGN_STRESS	grid128	16384	65024	0.444995	0.444605	16629340	16629340	297384
CAMPAIGN_STRESS	grid192	36864	146688	0.430752	0.431943	59682899	59682899	756999
CAMPAIGN_STRESS	hub2048	2048	4094	0.000010	0.000010	8189	8189	4095
CAMPAIGN_STRESS	path16000	16000	31998	0.000061	0.000063	63997	63997	31999
CAMPAIGN_STRESS	hub16000	16000	31998	0.000070	0.000071	63997	63997	31999
MEDIUM_BATCH_STRESS	random_n2048_links4	297931591	0	406
MEDIUM_BATCH_STRESS	random_n2048_links20	1582288443	0	93
MEDIUM_BATCH_STRESS	random_n2048_links40	2056388475	0	0
MEDIUM_BATCH_STRESS	random_n8000_links2	2425880104	0	135
MEDIUM_BATCH_STRESS	random_n8000_links4	17786698207	0	59
MEDIUM_BATCH_STRESS	random_n8000_links8	46633440129	0	0
MEDIUM_BATCH_STRESS	random_n8000_links10	59015470689	0	0
MEDIUM_BATCH_STRESS	random_n12000_links4	60114024511	0	0
MEDIUM_BATCH_STRESS	grid32	234362	0	0
MEDIUM_BATCH_STRESS	grid64	2502856	0	0
MEDIUM_BATCH_STRESS	grid96	11186559	0	0
MEDIUM_BATCH_STRESS	grid128	29230774	0	0
MEDIUM_BATCH_STRESS	grid192	106986930	0	0
MEDIUM_BATCH_STRESS	hub2048	8189	0	0
MEDIUM_BATCH_STRESS	path16000	63997	0	0
MEDIUM_BATCH_STRESS	hub16000	63997	0	0
