probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_family ... 
matrix	n	nnz	cur_s	cur_r	kahip_fast2_s	kahip_fast2_r	kahip_fast3_s	kahip_fast3_r	kahip_eco_s	kahip_eco_r	kahip_strong_s	kahip_strong_r	metis_s21_s	metis_s21_r	metis_s2_s	metis_s2_r	metis_imb10_s	metis_imb10_r	metis_imb05_s	metis_imb05_r	metis_sw100_s	metis_sw100_r	metis_sw400_s	metis_sw400_r	metis_dq_s	metis_dq_r	scotch_s2_s	scotch_s2_r
chain400	1201	4796	0.2063	1.0000	0.0029	1.5085	0.0027	1.4744	0.0054	1.5249	0.0055	1.5452	0.0009	1.4393	0.0009	1.4835	0.0009	1.4820	0.0008	1.5140	0.0013	1.5125	0.0006	1.3876	0.0008	1.4537	0.0016	1.5460
mpbp_07	9532	30810	0.7090	0.9127	0.0273	4.3483	0.0269	5.0496	0.0930	4.0429	0.1148	3.3068	0.0199	3.4703	0.0193	3.8880	0.0182	4.5134	0.0178	4.6021	0.0243	4.7688	0.0182	4.0613	0.0206	4.8445	0.0264	5.0017
sonetgr17	440	2958	0.3232	0.8190	0.0010	1.0443	0.0010	1.0325	0.0014	0.9276	0.0014	0.9276	0.0005	1.0452	0.0004	1.0561	0.0007	1.0330	0.0007	1.0330	0.0007	1.0596	0.0006	1.0180	0.0006	1.0180	0.0009	0.9884
p_ball_30b_7p_2d_h	2207	7516	0.3981	0.9968	0.0040	1.8037	0.0046	2.1094	0.0088	1.7759	0.0100	1.8922	0.0029	2.1756	0.0031	1.7999	0.0012	1.7871	0.0011	1.7871	0.0016	1.8440	0.0012	1.9072	0.0013	1.8261	0.0018	1.8286
ex8_3_9	123	834	0.2993	0.7643	0.0001	1.0000	0.0001	1.0000	0.0005	1.7708	0.0005	1.5074	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0003	1.2786	0.0000	1.0000	0.0000	1.0000	0.0004	2.0346
rsyn0820m02m	2486	6932	0.5446	0.9339	0.0028	1.2675	0.0031	1.5664	0.0093	1.2396	0.0162	1.5660	0.0043	1.4323	0.0036	1.2073	0.0045	1.3896	0.0044	1.8434	0.0063	1.6943	0.0027	1.2401	0.0042	1.4728	0.0063	2.0211
p_ball_10b_5p_2d_m	293	964	0.2697	0.9848	0.0001	1.0000	0.0001	1.0000	0.0006	1.1733	0.0007	1.2262	0.0003	1.3356	0.0003	1.3699	0.0003	1.4146	0.0003	1.4496	0.0003	1.3646	0.0001	1.0000	0.0003	1.3646	0.0004	1.4301
pooling_adhya4tp	170	936	0.2119	0.7667	0.0001	1.0000	0.0001	1.0000	0.0005	1.3299	0.0006	1.3299	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0003	1.3183	0.0001	1.0000	0.0000	1.0000	0.0004	1.1627
squfl015-080persp	7295	21600	0.2304	1.0000	0.0285	5.5293	0.0302	18.6486	0.0457	13.8844	0.0499	13.7019	0.0047	3.7107	0.0046	3.4884	0.0046	4.0995	0.0050	13.7561	0.0044	3.2054	0.0044	3.2054	0.0044	3.2054	0.0064	6.8239
edgecross10-080	1053	5940	0.2848	0.9638	0.0024	1.7151	0.0025	1.8422	0.0065	1.5232	0.0069	1.5520	0.0016	1.5890	0.0014	1.6479	0.0014	1.5890	0.0014	1.7328	0.0017	1.7051	0.0015	1.7021	0.0017	1.7004	0.0020	1.4142
clay0204hfsg	590	1696	0.3297	0.9116	0.0005	1.1923	0.0007	1.1682	0.0013	1.0490	0.0014	1.1442	0.0008	1.1393	0.0004	1.1471	0.0004	1.0517	0.0004	1.0517	0.0004	1.0517	0.0004	1.0517	0.0004	1.0517	0.0010	1.3295
st_bsj2	13	40	0.1163	0.7972	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
chimera_mgw-c8-439-onc8-002	440	3038	0.4019	0.8835	0.0015	1.7911	0.0014	1.6979	0.0032	1.8217	0.0046	1.5768	0.0009	1.4510	0.0009	1.2768	0.0009	1.4413	0.0009	1.9086	0.0014	1.8002	0.0006	1.4129	0.0011	1.1832	0.0009	1.0000
batchs201210m	5188	17910	0.5660	0.8685	0.0129	3.0087	0.0120	2.7801	0.0561	3.8327	0.0612	3.4350	0.0098	3.3093	0.0092	3.0578	0.0095	3.5585	0.0089	3.6074	0.0110	3.2998	0.0088	3.5094	0.0097	3.2938	0.0134	3.9045
rsyn0815m04m	5456	15756	0.6081	0.7820	0.0096	1.8129	0.0101	1.5811	0.0417	1.8848	0.0524	1.7716	0.0112	1.6061	0.0111	1.7970	0.0108	2.2117	0.0105	2.3340	0.0135	2.0716	0.0087	1.4888	0.0122	2.0191	0.0139	2.7179
syn40m	560	1528	0.3142	0.9644	0.0004	1.0827	0.0004	1.0551	0.0010	1.3515	0.0017	1.5243	0.0008	1.2726	0.0008	1.2722	0.0008	1.2461	0.0007	1.5424	0.0011	1.4220	0.0004	1.0395	0.0008	1.3094	0.0011	1.5872
knp5-44	2157	32604	0.2649	1.0000	0.0099	1.0000	0.0102	1.0000	0.0299	1.0000	0.0297	1.0000	0.0045	1.1091	0.0049	1.2589	0.0046	1.1215	0.0044	1.0000	0.0049	1.4628	0.0045	1.2042	0.0047	1.1215	0.0084	1.0404
ex1263a	94	390	0.2007	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
st_e41	8	32	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
squfl025-030	2305	6000	0.3194	1.0000	0.0026	1.6216	0.0027	1.3706	0.0047	1.6987	0.0065	1.4785	0.0012	2.6218	0.0017	1.6413	0.0015	1.6971	0.0015	2.1661	0.0016	1.6755	0.0015	1.6755	0.0016	1.6755	0.0020	1.6845
wastewater05m1	98	536	0.2480	0.6874	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
cvxnonsep_psig20	20	380	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
st_e31	301	744	0.2865	0.9389	0.0001	1.0000	0.0001	1.0000	0.0005	1.5926	0.0008	1.6906	0.0003	1.5845	0.0003	1.5547	0.0002	1.6787	0.0002	1.6412	0.0005	1.7097	0.0001	1.0000	0.0003	1.6859	0.0005	1.8055
pooling_haverly1pq	31	96	0.1717	0.9782	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
graphpart_3g-0244-0244	128	672	0.2329	0.9727	0.0001	1.0000	0.0001	1.0000	0.0004	2.7266	0.0004	2.7266	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0003	2.1137	0.0000	1.0000	0.0000	1.0000	0.0003	1.7912
graphpart_clique-20	80	1260	0.2423	0.7985	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
slay07m	497	1512	0.2585	1.0000	0.0005	4.3016	0.0005	3.5115	0.0014	4.2542	0.0019	4.2078	0.0007	2.5002	0.0004	1.7009	0.0007	2.5002	0.0007	2.5002	0.0007	2.5002	0.0003	2.3134	0.0007	2.5002	0.0008	2.7629
nvs19	24	200	0.0000	0.6534	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
oil	3270	8430	0.5239	0.9572	0.0030	1.7620	0.0032	1.7861	0.0108	2.1834	0.0169	1.9519	0.0038	2.1356	0.0038	1.8414	0.0038	2.1643	0.0037	1.9754	0.0061	1.9727	0.0023	1.6547	0.0039	2.1433	0.0064	2.1244
squfl015-060	2775	7200	0.4233	1.0000	0.0056	4.7687	0.0056	5.1041	0.0109	128.8977	0.0139	134.7438	0.0014	2.0559	0.0016	1.8964	0.0015	2.1221	0.0015	2.0257	0.0014	2.2659	0.0014	2.2659	0.0014	2.2659	0.0023	2.4861
ndcc12persp	1112	5522	0.4233	0.9521	0.0032	1.6091	0.0030	1.3203	0.0077	1.4001	0.0089	1.4755	0.0021	1.4052	0.0019	1.6183	0.0023	1.6557	0.0023	1.5538	0.0027	1.6402	0.0017	1.4013	0.0022	1.4451	0.0029	1.5217
nuclear25a	1942	16030	0.5132	0.5747	0.0086	0.7085	0.0107	0.9053	0.0238	0.6999	0.0303	0.7451	0.0050	0.9326	0.0044	0.6979	0.0044	0.7761	0.0038	0.8662	0.0058	0.9360	0.0037	0.6825	0.0043	0.6972	0.0077	1.0561
clay0204m	222	704	0.2276	1.0000	0.0001	1.0000	0.0001	1.0000	0.0003	1.3777	0.0005	1.2099	0.0002	1.3124	0.0002	1.2807	0.0002	1.2807	0.0003	1.2232	0.0002	1.2807	0.0000	1.0000	0.0002	1.2807	0.0003	1.2232
st_ph13	23	68	0.1318	0.8599	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
edgecross10-030	1053	4654	0.3952	0.7406	0.0025	1.3759	0.0024	1.1235	0.0065	1.4503	0.0073	1.4167	0.0012	2.0964	0.0013	1.5660	0.0011	1.8325	0.0011	1.8325	0.0012	1.8186	0.0011	2.0231	0.0011	2.0231	0.0022	1.5901
chain200	601	2396	0.2436	1.0000	0.0010	1.3911	0.0010	1.3972	0.0018	1.4286	0.0021	1.4639	0.0004	1.3972	0.0004	1.4003	0.0004	1.4003	0.0004	1.4155	0.0006	1.4762	0.0003	1.2436	0.0004	1.3697	0.0007	1.5148
ex1223b	25	66	0.1714	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
slay09h	2718	7488	0.4287	0.8982	0.0033	1.0184	0.0032	1.0120	0.0071	1.0120	0.0065	1.0120	0.0013	1.0120	0.0016	1.0120	0.0010	1.0120	0.0010	1.0120	0.0010	1.0120	0.0010	1.0120	0.0010	1.0120	0.0020	1.0184
ndcc12	974	5982	0.5115	0.9533	0.0034	1.9618	0.0036	2.1280	0.0072	1.2997	0.0086	1.2819	0.0022	1.0825	0.0020	1.4205	0.0012	1.3094	0.0018	1.5302	0.0021	1.2073	0.0013	1.1849	0.0018	1.2301	0.0024	1.2553
kall_circlesrectangles_c6r39	1306	5378	0.4171	0.9850	0.0023	1.4960	0.0036	1.5789	0.0095	1.5779	0.0099	1.3453	0.0023	1.3420	0.0013	1.0454	0.0017	1.1427	0.0017	1.1734	0.0013	1.0454	0.0013	1.0454	0.0013	1.0454	0.0022	1.1869
squfl020-150	9170	24000	0.4139	1.0000	0.0260	16.8725	0.0434	1033.5604	0.0587	1521.0077	0.0707	1450.6467	0.0030	1.9535	0.0031	1.9535	0.0034	1.9120	0.0035	1.9046	0.0030	1.9535	0.0031	1.9535	0.0031	1.9535	0.0049	1.9472
autocorr_bern40-30	43	1534	0.0000	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
slay08m	660	2016	0.2833	1.0000	0.0010	6.8389	0.0009	7.8198	0.0021	5.7411	0.0021	5.5384	0.0009	3.2123	0.0008	3.3350	0.0008	3.3920	0.0009	3.3920	0.0008	2.7810	0.0005	2.6782	0.0007	2.8241	0.0012	3.7609
chimera_mgw-c16-2031-01	2032	15900	0.6020	0.7814	0.0128	1.2143	0.0136	1.2231	0.0296	1.1648	0.0387	1.2128	0.0068	1.2911	0.0058	1.4421	0.0058	1.3429	0.0059	1.3601	0.0078	1.4025	0.0043	1.4846	0.0060	1.1729	0.0024	1.0000
forest	713	2658	0.3971	0.9933	0.0011	1.8516	0.0013	2.7502	0.0025	2.0843	0.0030	2.2952	0.0008	1.8574	0.0007	1.3065	0.0007	1.6579	0.0007	1.6391	0.0010	1.4938	0.0005	1.4284	0.0006	1.4307	0.0012	1.7698
qspp_0_10_0_1_10_1	280	29636	0.1847	0.9946	0.0062	1.5762	0.0059	1.6817	0.0106	2.3548	0.0126	2.7323	0.0024	1.6519	0.0022	1.5762	0.0026	1.6828	0.0027	1.6686	0.0063	2.7359	0.0003	1.0000	0.0025	1.4370	0.0070	2.6813
st_ph1	16	58	0.1367	0.8504	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
elf	124	376	0.1999	0.7951	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.5221	0.0000	1.0000	0.0000	1.0000	0.0002	1.3732
ex3_1_3	18	36	0.1373	0.9222	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
cvxnonsep_normcon40r	162	322	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0001	1.3101	0.0000	1.0000	0.0000	1.0000	0.0002	1.3101
demo7	155	618	0.2761	0.9573	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0004	1.7513	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.6921	0.0000	1.0000	0.0000	1.0000	0.0003	3.4454
waternd2	615	2580	0.3707	0.4806	0.0010	0.7254	0.0010	0.7897	0.0030	2.7436	0.0032	2.6753	0.0012	1.1073	0.0010	1.9138	0.0011	1.1843	0.0012	1.1799	0.0011	1.0930	0.0007	0.5638	0.0012	1.0930	0.0016	2.0956
prolog	64	292	0.2180	0.9839	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
ex14_1_8	11	30	0.1105	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
st_qpk3	55	548	0.1362	0.6881	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
mpbp_34	11556	40860	0.5921	0.2887	0.0212	0.4517	0.0225	0.5286	0.0826	0.5077	0.1189	0.5186	0.0160	0.5018	0.0166	0.5486	0.0176	0.5802	0.0184	0.5147	0.0262	0.5107	0.0163	0.5271	0.0173	0.5958	0.0275	0.5477
cvxnonsep_normcon20r	82	162	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
cvxnonsep_psig20r	86	170	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
rsyn0805m03m	2868	8270	0.7331	0.8995	0.0034	1.2404	0.0031	1.1976	0.0156	1.6546	0.0210	1.9722	0.0052	1.9306	0.0050	1.8895	0.0054	1.8632	0.0056	2.1547	0.0071	2.2349	0.0036	1.1644	0.0054	1.6998	0.0068	2.4451
st_iqpbk1	22	98	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
waterund01	96	404	0.2655	0.7297	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
pointpack04	29	120	0.1593	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
st_e22	12	30	0.1003	0.9091	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
arki0002	4432	11248	0.4082	0.9764	0.0094	2.5431	0.0103	3.0993	0.0270	2.6684	0.0372	4.9787	0.0076	2.9939	0.0074	2.5717	0.0068	3.3065	0.0068	3.6079	0.0100	2.9239	0.0055	2.7547	0.0075	3.4923	0.0104	3.5482
transswitch0300p	11659	48446	0.7907	0.9351	0.0349	2.7163	0.0339	2.8620	0.1128	2.2522	0.1638	2.2124	0.0241	2.4578	0.0242	2.1852	0.0238	2.3132	0.0237	2.7076	0.0316	2.3316	0.0190	2.6706	0.0258	2.2641	0.0313	2.7982
maxcsp-langford-3-11	660	29646	0.4065	0.3098	0.0069	1.0000	0.0094	0.5327	0.0118	1.0000	0.0113	1.0000	0.0032	1.0000	0.0031	1.0000	0.0038	0.3919	0.0039	0.4065	0.0031	1.0000	0.0031	1.0000	0.0031	1.0000	0.0030	1.0000
p_ball_30b_5p_2d_h	1543	5224	0.3438	0.9961	0.0022	2.1790	0.0020	2.3135	0.0059	2.0154	0.0062	2.0154	0.0014	1.9832	0.0018	1.9567	0.0008	1.8785	0.0008	1.7842	0.0020	2.0707	0.0012	2.6160	0.0019	2.0707	0.0014	2.1799
ringpack_20_3	6709	45220	0.3707	0.3584	0.0222	1.4140	0.0218	0.9294	0.0425	1.7417	0.0478	1.9696	0.0111	2.2657	0.0115	2.0138	0.0113	1.9811	0.0111	2.0288	0.0118	1.9580	0.0115	1.9776	0.0120	1.9580	0.0133	3.0030
waste	4825	21504	0.5562	0.8654	0.0164	4.7486	0.0175	3.8938	0.0493	2.7352	0.0631	6.3849	0.0056	2.9247	0.0060	2.1000	0.0048	2.0720	0.0049	2.1772	0.0086	2.8149	0.0049	1.4162	0.0062	2.3952	0.0106	3.2526
catmix400	2001	11192	0.2459	0.9998	0.0028	1.9592	0.0030	1.9782	0.0049	1.9974	0.0071	2.0192	0.0025	1.9735	0.0024	1.9821	0.0024	1.9849	0.0023	1.9792	0.0038	2.0224	0.0014	1.8374	0.0024	1.9907	0.0042	2.0241
rsyn0815m02hfsg	3054	7968	0.5279	0.9285	0.0041	1.3256	0.0043	1.4285	0.0126	1.4908	0.0192	1.6247	0.0049	1.5850	0.0055	1.6124	0.0051	1.5613	0.0050	1.5731	0.0074	1.7247	0.0036	1.2864	0.0056	1.5015	0.0074	1.8689
p_ball_10b_7p_3d_h	1236	4186	0.2986	0.9739	0.0023	1.3024	0.0020	1.2884	0.0042	1.2779	0.0052	1.2174	0.0009	1.2755	0.0012	1.2918	0.0014	1.6919	0.0012	1.7308	0.0025	1.3078	0.0011	1.3158	0.0015	1.3352	0.0026	1.4488
chimera_k64ising-02	1225	3846	0.5935	0.6080	0.0039	1.5930	0.0040	1.1007	0.0082	1.2951	0.0103	1.3242	0.0024	1.1056	0.0025	1.0080	0.0022	1.1824	0.0021	1.1783	0.0032	1.1751	0.0018	1.3341	0.0025	1.2415	0.0031	1.3915
batchs121208m	3404	11462	0.4748	0.9332	0.0078	1.9254	0.0075	1.8766	0.0301	2.9520	0.0342	2.3919	0.0062	2.3014	0.0062	2.2260	0.0064	2.1697	0.0060	2.0816	0.0073	2.1809	0.0058	1.8339	0.0063	2.1511	0.0085	2.5975
nvs02	11	46	0.1074	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
wastepaper6	191	1416	0.2713	1.0000	0.0001	1.0000	0.0001	1.0000	0.0010	1.5527	0.0011	1.5527	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0005	1.9156	0.0001	1.0000	0.0001	1.0000	0.0006	1.8279
syn15hfsg	399	1022	0.2679	0.9915	0.0003	1.4567	0.0003	1.2421	0.0006	1.1524	0.0011	1.3970	0.0004	1.2430	0.0004	1.1758	0.0004	1.2688	0.0003	1.3964	0.0007	1.4788	0.0001	1.0000	0.0003	1.2627	0.0006	1.7418
st_jcbpaf2	36	246	0.1694	0.9437	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
camshape400	2000	7188	0.0002	1.0000	0.0022	1.3405	0.0016	1.3405	0.0037	1.4002	0.0044	1.4002	0.0032	1.3934	0.0030	1.3801	0.0029	1.3820	0.0030	1.3820	0.0047	1.4646	0.0019	1.3033	0.0031	1.3820	0.0047	1.4277
graphpart_clique-30	120	2790	0.2679	0.7961	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0009	1.0970	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0004	1.0970	0.0000	1.0000	0.0000	1.0000	0.0001	1.0000
graphpart_clique-70	280	14910	0.2159	0.8103	0.0025	1.1004	0.0025	1.1004	0.0049	0.8318	0.0052	0.8318	0.0011	1.1004	0.0011	1.1004	0.0011	1.1152	0.0011	1.1317	0.0022	0.8318	0.0002	1.0000	0.0011	1.1004	0.0028	0.8516
smallinvDAXr1b010-011	39	1120	0.0000	0.9859	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.9859
slay05m	240	720	0.2227	1.0000	0.0001	1.0000	0.0001	1.0000	0.0003	2.2429	0.0005	1.9066	0.0003	1.3689	0.0003	1.3689	0.0003	1.3689	0.0002	1.3689	0.0005	1.5655	0.0000	1.0000	0.0003	1.3689	0.0003	1.3689
chimera_selby-c16-01	2031	10964	0.7000	0.6744	0.0081	0.7181	0.0086	0.8633	0.0254	0.6907	0.0372	0.7781	0.0062	1.0354	0.0061	0.9168	0.0057	1.0357	0.0058	0.9617	0.0084	0.8911	0.0040	0.9458	0.0057	0.9316	0.0090	0.8382
csched1	110	376	0.1862	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.1621	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.2062	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
watercontamination0303r	1310	37028	0.1449	1.0000	0.0138	1.6265	0.0137	1.6238	0.0252	1.7013	0.0266	1.7374	0.0052	2.3098	0.0052	2.3298	0.0032	1.1837	0.0034	1.1804	0.0053	2.3772	0.0053	2.3703	0.0053	2.3703	0.0101	2.5994
ex9_2_4	15	36	0.1135	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
sssd15-04	163	440	0.1899	1.0000	0.0001	1.0000	0.0000	1.0000	0.0003	1.0985	0.0004	1.0985	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.2578	0.0000	1.0000	0.0000	1.0000	0.0002	1.1274
autocorr_bern35-35fix	38	1264	0.0000	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
