name	n	nnz	amd	control_flops	final_flops	elapsed
syn15hfsg	399	1022	3300	3272	3272	0.241247
st_jcbpaf2	36	246	1635	1543	1543	0.176580
camshape400	2000	7188	16768	16768	16768	0.000038
graphpart_clique-30	120	2790	114505	91153	91153	0.243078
graphpart_clique-70	280	14910	1413012	1144894	1144894	0.191505
smallinvDAXr1b010-011	39	1120	13510	13319	13319	0.000006
nd_netgen-2000-3-4-b-a-ns_7	22074	60000	289420	273394	273394	0.286008
slay05m	240	720	2635	2635	2635	0.255692
chimera_selby-c16-01	2031	10964	3605628	2419538	2419538	0.531717
csched1	110	376	975	975	975	0.238420
watercontamination0303r	1310	37028	2171882	2171882	2171882	0.126406
ex9_2_4	15	36	117	117	117	0.110121
sssd15-04	163	440	1625	1625	1625	0.186265
autocorr_bern35-35fix	38	1264	16214	16214	16214	0.000006
sfacloc2_4_90	1491	4500	31682	28843	28843	0.320793
cont6-qq	120395	557994	835894090	581918900	581918900	0.209183
meanvar-orl400_05_e_7	5205	174804	21939414	21935811	21935811	0.179518
glider400	10017	49624	373018	327461	327461	0.298346
syn40m04m	4960	13792	65982	63265	63265	0.457343
ex2_1_3	31	72	189	189	189	0.151276
qapw	705	87496	12183146	12183146	12183146	0.420625
himmel11	14	60	198	198	198	0.142524
syn15m04m	1908	5288	26094	25061	25061	0.308002
pooling_rt2tp	118	654	5876	5796	5796	0.256494
waterund14	333	2204	200484	72184	72184	0.288155
crudeoil_lee4_10	17809	120632	294531623	184173410	184173410	0.729599
pooling_foulds4pq	1294	8302	138692	138540	138540	0.366774
edgecross14-156	3097	19664	1487933	1376964	1376964	0.289502
tspn08	72	668	11074	7600	7600	0.216075
crudeoil_li05	4225	14628	680022	533531	533531	0.455561
procurement1large	14416	41068	13858240	7376882	7376882	0.467055
blend721	1428	4548	77560	66143	66143	0.302399
chimera_selby-c16-02	2031	10878	4280329	2298651	2298651	0.538237
supplychainr1_053050	16640	57800	2173490	2173490	2173490	0.350765
sfacloc2_4_80	5067	21424	93048	88884	88884	0.544891
st_e24	10	26	64	57	57	0.000002
edgecross10-040	1053	5116	161851	143518	143518	0.281646
sonet21v6	8232	40744	1643311	1585871	1585871	0.346254
squfl010-080	2490	6400	27665	27665	27665	0.279134
genpooling_lee2	221	1048	19895	14028	14028	0.252242
popdynm25	2807	13904	360081	286812	286812	0.483708
chp_partload	5211	16740	509170	373134	373134	0.599745
qspp_0_14_0_1_10_1	560	120274	16119226	16038266	16038266	0.208792
st_glmp_ss1	24	66	160	160	160	0.128040
torsion50	2508	29808	1691033	1119054	1119054	0.378494
st_rv2	40	340	2045	2045	2045	0.201029
emfl100_3_3	6885	15948	55506	55506	55506	0.212457
pedigree_sim400	351	23546	1183471	1183168	1183168	0.000079
polygon75	5846	49652	1171822	1171822	1171822	0.000202
gabriel10	244056	1148210	1365442310	1267760679	1267760679	0.412130
fo9_ar25_1	1049	4336	41668	38237	38237	0.265195
rsyn0840m	1159	3168	11274	10602	10602	0.290504
gancns	548	2800	69234	58861	58861	0.364575
o9_ar4_1	1049	4336	41668	38237	38237	0.260271
ex1265a	123	560	3948	3750	3750	0.294612
ex9_2_6	28	68	190	190	190	0.144322
qspp_0_13_0_1_10_1	481	88522	10150185	10097446	10097446	0.164903
slay04m	146	432	1554	1554	1554	0.213546
st_e25	20	92	336	262	262	0.000002
ex8_4_1	32	100	225	225	225	0.203940
st_e07	19	60	199	199	199	0.182179
ex1225	26	66	171	161	161	0.142308
ndcc13	969	5882	525212	324727	324727	0.438403
syn10m04m	1224	3384	13501	13473	13473	0.254511
ex5_2_4	18	62	204	193	193	0.172397
st_m2	72	1226	16331	16331	16331	0.210618
st_bpk1	16	44	115	108	108	0.125056
multiplants_stg1	736	3594	197998	155496	155496	0.451868
powerflow0300p	11251	41918	304705	292256	292256	0.557097
nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	885186	0.384233
sonet23v4	803	6462	139703	94348	94348	0.426887
pooling_sppa0pq	1649	24192	3745896	1214182	1214182	0.343457
multiplants_mtg1b	645	4404	229415	152043	152043	0.448351
sssd18-08persp	338	1168	4654	4654	4654	0.276689
ex9_1_2	19	54	188	179	179	0.140093
crudeoil_lee1_07	3670	19322	4746188	3506464	3506464	0.589699
pooling_haverly1tp	31	96	423	403	403	0.190790
waterund08	230	1290	35284	30110	30110	0.230587
kall_diffcircles_6	76	302	1511	1511	1511	0.188602
chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	80090	0.388531
waterund11	160	828	14818	10705	10705	0.273953
chp_shorttermplan2d	16364	52108	4089003	1997381	1997381	0.535214
sporttournament18	156	886	17568	13608	13608	0.317970
cvxnonsep_psig30	30	870	9455	9455	9455	0.000006
ringpack_20_2	6089	40368	1872174	707413	707413	0.340427
blend718	1386	4310	70355	61466	61466	0.309509
wastepaper4	115	724	9711	7183	7183	0.288912
squfl010-040persp	2450	7200	22825	22825	22825	0.279100
crudeoil_lee4_06	10429	55492	65337120	32564806	32564806	0.692487
netmod_kar1	1746	4928	56838	43864	43864	0.435563
ex8_1_7	14	46	137	128	128	0.147643
graphpart_3g-0333-0333	108	648	44928	36228	36228	0.209402
slay05h	760	2080	9815	8795	8795	0.289277
