name	n	nnz	amd	control_flops	joint_flops	elapsed
st_ht	8	18	51	44	44	0.104129
crudeoil_lee2_06	6418	34646	23299675	16292510	16292510	0.658862
kan_r3_h1_n4	3183	14062	104945	98715	98715	0.376126
primary	378	5610	109639	95258	95258	0.265621
syn10m03hfsg	1071	2772	9890	9812	9812	0.257955
wastewater02m1	36	138	848	790	790	0.208905
supplychainr1_022020	4620	15680	273140	273100	273100	0.330584
squfl025-025persp	3800	11250	49925	49925	49925	0.215434
ringpack_30_2	17999	121458	12394600	2873684	2873684	0.609016
nuclear104	39098	257806	103156931	78332024	78332024	0.724970
chp_shorttermplan1a	4952	15700	376486	299825	299825	0.484776
rocket50	555	3488	19983	19265	19265	0.388946
rsyn0840m04m	8508	24272	229914	185120	185120	0.554890
mpbp_21	11716	37660	1691114	1456963	1456963	0.489311
orth_d4m6_pl	172	1096	10938	10703	10703	0.230236
kall_circlespolygons_c1p5b	1681	7432	201759	193841	193841	0.372724
acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	33736789	0.349223
ex1223	33	82	244	244	244	0.156521
ex6_1_4	10	48	197	153	153	0.152923
powerflow0014r	403	1630	10761	10361	10361	0.294375
knp5-43	2065	31132	3517788	3517788	3517788	0.217427
gabriel09	21688	89702	29373994	26366112	26366112	0.529377
tln2	32	88	233	233	233	0.148970
prob02	22	76	267	232	232	0.173375
blend146	1422	4460	78102	64296	64296	0.315180
mpbp_46	4518	14492	499547	447603	447603	0.408153
tls6	413	2860	18483	17511	17511	0.330830
emfl100_5_5	21925	52300	221650	221650	221650	0.311181
qspp_0_11_0_1_10_1	341	44264	3563707	3531915	3531915	0.148724
p_ball_10b_5p_4d_m	403	1484	13581	13288	13288	0.270456
st_rv9	90	840	6691	6321	6321	0.240046
rsyn0840m02m	3486	9576	47529	44981	44981	0.380537
nvs05	22	84	277	266	266	0.175591
autocorr_bern25-19	28	612	5278	5278	5278	0.000005
sssd20-08persp	356	1232	4960	4960	4960	0.281716
multiplants_stg5	827	3804	377794	155722	155722	0.460809
chimera_rfr-02	2032	15140	3860441	2487302	2487302	0.505756
multiplants_stg1a	726	3510	142058	121443	121443	0.453456
pooling_adhya4pq	170	932	24314	16556	16556	0.239596
nuclear10a	17493	163816	82406325	55749125	55749125	0.579678
sonet24v5	874	7260	185654	110276	110276	0.445503
transswitch2736spr	69651	331010	7933133	7281507	7281507	0.281506
chp_shorttermplan2a	8992	26288	821014	575282	575282	0.415605
catmix200	1001	5592	18173	18164	18164	0.244616
nvs23	27	252	1921	1221	1221	0.000003
oaer	20	40	107	107	107	0.125421
hybriddynamic_fixed	168	388	1103	1103	1103	0.187982
edgecross24-115	16747	77352	35096942	27626301	27626301	0.443286
space25	1178	4334	23567	22528	22528	0.272109
methanol400	23999	151728	2586036	1864047	1864047	0.408249
pooling_foulds5tp	1218	8364	251833	171941	171941	0.422539
pooling_sppa9tp	5040	121302	104609262	16877457	16877457	0.465121
st_miqp2	10	18	37	37	37	0.000001
autocorr_bern30-23	33	878	8940	8940	8940	0.000006
mpbp_15	9858	31692	1496502	1167920	1167920	0.555812
cvxnonsep_psig30r	126	250	501	501	501	0.000003
rsyn0830hfsg	1590	4100	16168	15383	15383	0.352102
crudeoil_pooling_ct1	1271	4642	125127	93863	93863	0.447245
multiplants_stg1c	800	3894	150039	143020	143020	0.452984
st_pan1	11	32	123	94	94	0.111844
multiplants_stg1b	814	3992	308612	187593	187593	0.490542
methanol200	11999	76128	1290836	905945	905945	0.472946
faclay35	26778	132380	33630126	32021838	32021838	0.462300
emfl050_5_5	13175	32300	155400	155400	155400	0.214181
transswitch2383wpr	59853	277562	3946309	3861509	3861509	0.376835
chimera_lga-01	1120	6400	668019	497101	497101	0.413599
gasprod_sarawak16	4596	15316	213850	196064	196064	0.529103
crudeoil_lee4_09	15904	101792	208785578	128640232	128640232	0.787970
arki0013	44909	160172	390472987	150475002	150475002	0.738748
st_m1	42	432	3097	3097	3097	0.167863
mpbp_47	5310	17098	730624	652248	652248	0.525246
rsyn0815m	821	2242	8260	7745	7745	0.370048
arki0016	7993	37208	878890	835794	835794	0.728688
st_glmp_ss2	18	48	121	121	121	0.128253
rsyn0810m02hfsg	2670	6964	36862	34753	34753	0.490671
pointpack06	55	276	1497	1497	1497	0.174122
syn40m04hfsg	6328	16896	76232	73685	73685	0.289855
