tag	matrix	n	input_nnz	amd_flops	control_flops	extended_flops	seconds
BATCH_RUNTIME_ROW	pooling_sppb5pq	18529	674470	523815053	213571545	213571545	0.507107
BATCH_RUNTIME_ROW	slay07m	497	1512	5740	5740	5740	0.267837
BATCH_RUNTIME_ROW	nvs19	24	200	1353	884	884	0.000003
BATCH_RUNTIME_ROW	oil	3270	8430	36313	34760	34760	0.404417
BATCH_RUNTIME_ROW	squfl015-060	2775	7200	36400	36400	36400	0.308786
BATCH_RUNTIME_ROW	ndcc12persp	1112	5522	299115	284793	284793	0.365889
BATCH_RUNTIME_ROW	kissing2	20772	401024	156414018	156414018	156414018	0.359877
BATCH_RUNTIME_ROW	nuclear25a	1942	16030	1977163	1136191	1136191	0.434176
BATCH_RUNTIME_ROW	clay0204m	222	704	2330	2330	2330	0.265975
BATCH_RUNTIME_ROW	st_ph13	23	68	207	178	178	0.124537
BATCH_RUNTIME_ROW	edgecross10-030	1053	4654	135854	100080	100080	0.361415
BATCH_RUNTIME_ROW	chain200	601	2396	8182	8182	8182	0.244939
BATCH_RUNTIME_ROW	ex1223b	25	66	178	178	178	0.148457
BATCH_RUNTIME_ROW	slay09h	2718	7488	36057	32385	32385	0.379226
BATCH_RUNTIME_ROW	ndcc12	974	5982	345696	329556	329556	0.448209
BATCH_RUNTIME_ROW	kall_circlesrectangles_c6r39	1306	5378	75744	74610	74610	0.370538
BATCH_RUNTIME_ROW	squfl020-150	9170	24000	135020	135020	135020	0.418451
BATCH_RUNTIME_ROW	autocorr_bern40-30	43	1534	20034	20034	20034	0.000008
BATCH_RUNTIME_ROW	slay08m	660	2016	7796	7796	7796	0.280989
BATCH_RUNTIME_ROW	chimera_mgw-c16-2031-01	2032	15900	3328073	2561396	2560646	0.468500
BATCH_RUNTIME_ROW	forest	713	2658	10614	10543	10543	0.366961
BATCH_RUNTIME_ROW	qspp_0_10_0_1_10_1	280	29636	1942907	1932414	1932414	0.155789
BATCH_RUNTIME_ROW	st_ph1	16	58	274	233	233	0.160781
BATCH_RUNTIME_ROW	elf	124	376	2733	2173	2173	0.244026
BATCH_RUNTIME_ROW	ex3_1_3	18	36	90	83	83	0.130753
BATCH_RUNTIME_ROW	cvxnonsep_normcon40r	162	322	645	645	645	0.000002
BATCH_RUNTIME_ROW	demo7	155	618	3579	3426	3426	0.287307
BATCH_RUNTIME_ROW	waternd2	615	2580	155674	74817	74817	0.340515
BATCH_RUNTIME_ROW	prolog	64	292	1245	1225	1225	0.245624
BATCH_RUNTIME_ROW	ex14_1_8	11	30	80	80	80	0.106410
BATCH_RUNTIME_ROW	faclay75	272878	1379706	3204527350	3013800414	3013800414	0.437050
BATCH_RUNTIME_ROW	st_qpk3	55	548	5467	3762	3762	0.155017
BATCH_RUNTIME_ROW	mpbp_34	11556	40860	3093917	891674	891278	0.458321
BATCH_RUNTIME_ROW	cvxnonsep_normcon20r	82	162	325	325	325	0.000004
BATCH_RUNTIME_ROW	cvxnonsep_psig20r	86	170	341	341	341	0.000001
BATCH_RUNTIME_ROW	crudeoil_pooling_dt2	18742	75910	14985540	9947927	9947927	0.480951
BATCH_RUNTIME_ROW	rsyn0805m03m	2868	8270	60979	54853	54853	0.559298
BATCH_RUNTIME_ROW	st_iqpbk1	22	98	295	295	295	0.000003
BATCH_RUNTIME_ROW	waterund01	96	404	4546	3317	3317	0.293972
BATCH_RUNTIME_ROW	pointpack04	29	120	577	577	577	0.176921
BATCH_RUNTIME_ROW	st_e22	12	30	77	70	70	0.100968
BATCH_RUNTIME_ROW	faclay30	16678	82242	13452923	12850431	12850431	0.351516
BATCH_RUNTIME_ROW	arki0002	4432	11248	683476	667374	667374	0.375522
BATCH_RUNTIME_ROW	transswitch0300p	11659	48446	404940	377741	374416	0.619926
BATCH_RUNTIME_ROW	crudeoil_pooling_dt3	30660	152210	48975085	33883039	33883039	0.602201
BATCH_RUNTIME_ROW	gasprod_sarawak81	22536	75636	1030380	941231	941231	0.508620
BATCH_RUNTIME_ROW	maxcsp-langford-3-11	660	29646	33444033	10360919	10360919	0.337858
BATCH_RUNTIME_ROW	p_ball_30b_5p_2d_h	1543	5224	25843	25742	25742	0.281599
BATCH_RUNTIME_ROW	ringpack_20_3	6709	45220	2415136	865627	865627	0.368643
BATCH_RUNTIME_ROW	waste	4825	21504	1468261	1270649	1270649	0.512393
BATCH_RUNTIME_ROW	catmix400	2001	11192	36373	36364	36364	0.217976
BATCH_RUNTIME_ROW	rsyn0815m02hfsg	3054	7968	44604	41416	41384	0.418306
BATCH_RUNTIME_ROW	p_ball_10b_7p_3d_h	1236	4186	24380	23744	23744	0.293883
BATCH_RUNTIME_ROW	chimera_k64ising-02	1225	3846	613390	371142	371142	0.524393
BATCH_RUNTIME_ROW	batchs121208m	3404	11462	138030	128816	128816	0.476706
BATCH_RUNTIME_ROW	nvs02	11	46	142	142	142	0.143180
BATCH_RUNTIME_ROW	wastepaper6	191	1416	16611	16611	16611	0.272579
BATCH_RUNTIME_ROW	syn15hfsg	399	1022	3300	3272	3272	0.250790
BATCH_RUNTIME_ROW	st_jcbpaf2	36	246	1635	1543	1543	0.178561
BATCH_RUNTIME_ROW	camshape400	2000	7188	16768	16768	16768	0.000037
BATCH_RUNTIME_ROW	graphpart_clique-30	120	2790	114505	91153	91153	0.242417
BATCH_RUNTIME_ROW	graphpart_clique-70	280	14910	1413012	1144894	1144894	0.192513
BATCH_RUNTIME_ROW	smallinvDAXr1b010-011	39	1120	13510	13319	13319	0.000006
BATCH_RUNTIME_ROW	nd_netgen-2000-3-4-b-a-ns_7	22074	60000	289420	273394	273394	0.302051
BATCH_RUNTIME_ROW	slay05m	240	720	2635	2635	2635	0.265631
BATCH_RUNTIME_ROW	chimera_selby-c16-01	2031	10964	3605628	2420818	2419538	0.550058
BATCH_RUNTIME_ROW	csched1	110	376	975	975	975	0.247330
BATCH_RUNTIME_ROW	watercontamination0303r	1310	37028	2171882	2171882	2171882	0.130749
BATCH_RUNTIME_ROW	ex9_2_4	15	36	117	117	117	0.111762
BATCH_RUNTIME_ROW	sssd15-04	163	440	1625	1625	1625	0.193365
BATCH_RUNTIME_ROW	autocorr_bern35-35fix	38	1264	16214	16214	16214	0.000006
BATCH_RUNTIME_ROW	sfacloc2_4_90	1491	4500	31682	28843	28843	0.333835
BATCH_RUNTIME_ROW	cont6-qq	120395	557994	835894090	581918900	581918900	0.210180
BATCH_RUNTIME_ROW	meanvar-orl400_05_e_7	5205	174804	21939414	21935811	21935811	0.187520
BATCH_RUNTIME_ROW	glider400	10017	49624	373018	327531	327461	0.326018
BATCH_RUNTIME_ROW	syn40m04m	4960	13792	65982	63265	63265	0.475277
BATCH_RUNTIME_ROW	ex2_1_3	31	72	189	189	189	0.153125
BATCH_RUNTIME_ROW	qapw	705	87496	12183146	12183146	12183146	0.429623
BATCH_RUNTIME_ROW	himmel11	14	60	198	198	198	0.143871
BATCH_RUNTIME_ROW	syn15m04m	1908	5288	26094	25061	25061	0.313381
BATCH_RUNTIME_ROW	pooling_rt2tp	118	654	5876	5796	5796	0.258630
BATCH_RUNTIME_ROW	waterund14	333	2204	200484	72184	72184	0.291915
BATCH_RUNTIME_ROW	crudeoil_lee4_10	17809	120632	294531623	176348241	176348241	0.749216
BATCH_RUNTIME_ROW	pooling_foulds4pq	1294	8302	138692	138540	138540	0.376749
BATCH_RUNTIME_ROW	edgecross14-156	3097	19664	1487933	1376964	1376964	0.298829
BATCH_RUNTIME_ROW	tspn08	72	668	11074	7600	7600	0.219558
BATCH_RUNTIME_ROW	crudeoil_li05	4225	14628	680022	533531	533531	0.470920
BATCH_RUNTIME_ROW	procurement1large	14416	41068	13858240	7372274	7372274	0.496950
BATCH_RUNTIME_ROW	blend721	1428	4548	77560	66143	66143	0.310148
BATCH_RUNTIME_ROW	chimera_selby-c16-02	2031	10878	4280329	2298935	2298651	0.558085
BATCH_RUNTIME_ROW	supplychainr1_053050	16640	57800	2173490	2173490	2173490	0.362118
BATCH_RUNTIME_ROW	sfacloc2_4_80	5067	21424	93048	88884	88884	0.560989
BATCH_RUNTIME_ROW	st_e24	10	26	64	57	57	0.000002
BATCH_RUNTIME_ROW	edgecross10-040	1053	5116	161851	143518	143518	0.289774
