tag	matrix	n	input_nnz	amd_flops	base_flops	base_factor_nnz	selected_flops	seconds	accepted_state_flags
SELECTED_ORIGINAL_ROW	autocorr_bern40-30	43	1534	20034	20034	810	20034	0.000000	0
SELECTED_ORIGINAL_ROW	slay08m	660	2016	7796	7796	2068	7796	0.000000	0
SELECTED_ORIGINAL_ROW	chimera_mgw-c16-2031-01	2032	15900	3328073	2560646	53436	2560646	0.001140	1
SELECTED_ORIGINAL_ROW	forest	713	2658	10614	10543	2445	10543	0.000000	0
SELECTED_ORIGINAL_ROW	qspp_0_10_0_1_10_1	280	29636	1942907	1932414	16660	1932414	0.000000	0
SELECTED_ORIGINAL_ROW	st_ph1	16	58	274	233	55	233	0.000000	0
SELECTED_ORIGINAL_ROW	elf	124	376	2733	2173	441	2173	0.000000	0
SELECTED_ORIGINAL_ROW	ex3_1_3	18	36	90	83	37	83	0.000000	0
SELECTED_ORIGINAL_ROW	cvxnonsep_normcon40r	162	322	645	645	323	645	0.000000	0
SELECTED_ORIGINAL_ROW	demo7	155	618	3579	3426	620	3426	0.000000	0
SELECTED_ORIGINAL_ROW	waternd2	615	2580	155674	74817	4059	74817	0.000000	0
SELECTED_ORIGINAL_ROW	prolog	64	292	1245	1225	257	1225	0.000000	0
SELECTED_ORIGINAL_ROW	ex14_1_8	11	30	80	80	28	80	0.000000	0
SELECTED_ORIGINAL_ROW	faclay75	272878	1379706	3204527350	3013800414	3449330	3013800414	0.000000	0
SELECTED_ORIGINAL_ROW	st_qpk3	55	548	5467	3762	374	3762	0.000000	0
SELECTED_ORIGINAL_ROW	mpbp_34	11556	40860	3093917	891278	62428	891278	0.000000	0
SELECTED_ORIGINAL_ROW	cvxnonsep_normcon20r	82	162	325	325	163	325	0.000000	0
SELECTED_ORIGINAL_ROW	cvxnonsep_psig20r	86	170	341	341	171	341	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_pooling_dt2	18742	75910	14985540	9947927	174213	9947927	0.006085	1
SELECTED_ORIGINAL_ROW	rsyn0805m03m	2868	8270	60979	54853	10111	54853	0.000000	0
SELECTED_ORIGINAL_ROW	st_iqpbk1	22	98	295	295	71	295	0.000000	0
SELECTED_ORIGINAL_ROW	waterund01	96	404	4546	3317	457	3317	0.000000	0
SELECTED_ORIGINAL_ROW	pointpack04	29	120	577	577	113	577	0.000000	0
SELECTED_ORIGINAL_ROW	st_e22	12	30	77	70	28	70	0.000000	0
SELECTED_ORIGINAL_ROW	faclay30	16678	82242	13452923	12850431	116585	12850431	0.000000	0
SELECTED_ORIGINAL_ROW	arki0002	4432	11248	683476	667374	27906	667374	0.000000	0
SELECTED_ORIGINAL_ROW	transswitch0300p	11659	48446	404940	374416	51636	374416	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_pooling_dt3	30660	152210	48975085	33883039	471303	33883039	0.013723	1
SELECTED_ORIGINAL_ROW	gasprod_sarawak81	22536	75636	1030380	941231	110997	941231	0.000000	0
SELECTED_ORIGINAL_ROW	maxcsp-langford-3-11	660	29646	33444033	10360919	72709	10360919	0.000000	0
SELECTED_ORIGINAL_ROW	p_ball_30b_5p_2d_h	1543	5224	25843	25742	5370	25742	0.000000	0
SELECTED_ORIGINAL_ROW	ringpack_20_3	6709	45220	2415136	865627	40969	865627	0.000000	0
SELECTED_ORIGINAL_ROW	waste	4825	21504	1468261	1270649	38413	1270649	0.000000	0
SELECTED_ORIGINAL_ROW	catmix400	2001	11192	36373	36364	8396	36364	0.000000	0
SELECTED_ORIGINAL_ROW	rsyn0815m02hfsg	3054	7968	44604	41384	9902	41384	0.000000	0
SELECTED_ORIGINAL_ROW	p_ball_10b_7p_3d_h	1236	4186	24380	23744	4436	23744	0.000000	0
SELECTED_ORIGINAL_ROW	chimera_k64ising-02	1225	3846	613390	371142	11742	371142	0.000000	0
SELECTED_ORIGINAL_ROW	batchs121208m	3404	11462	138030	128816	13224	128816	0.000000	0
SELECTED_ORIGINAL_ROW	nvs02	11	46	142	142	36	142	0.000000	0
SELECTED_ORIGINAL_ROW	wastepaper6	191	1416	16611	16611	1511	16611	0.000000	0
SELECTED_ORIGINAL_ROW	syn15hfsg	399	1022	3300	3272	1106	3272	0.000000	0
SELECTED_ORIGINAL_ROW	st_jcbpaf2	36	246	1635	1543	199	1543	0.000000	0
SELECTED_ORIGINAL_ROW	camshape400	2000	7188	16768	16768	5594	16768	0.000000	0
SELECTED_ORIGINAL_ROW	graphpart_clique-30	120	2790	114505	91153	3027	91153	0.000000	0
SELECTED_ORIGINAL_ROW	graphpart_clique-70	280	14910	1413012	1144894	15796	1144894	0.000000	0
SELECTED_ORIGINAL_ROW	smallinvDAXr1b010-011	39	1120	13510	13319	599	13319	0.000000	0
SELECTED_ORIGINAL_ROW	nd_netgen-2000-3-4-b-a-ns_7	22074	60000	289420	273394	64374	273394	0.000000	0
SELECTED_ORIGINAL_ROW	slay05m	240	720	2635	2635	745	2635	0.000000	0
SELECTED_ORIGINAL_ROW	chimera_selby-c16-01	2031	10964	3605628	2419538	50246	2419538	0.000000	0
SELECTED_ORIGINAL_ROW	csched1	110	376	975	975	323	975	0.000000	0
SELECTED_ORIGINAL_ROW	watercontamination0303r	1310	37028	2171882	2171882	20194	2171882	0.000000	0
SELECTED_ORIGINAL_ROW	ex9_2_4	15	36	117	117	41	117	0.000000	0
SELECTED_ORIGINAL_ROW	sssd15-04	163	440	1625	1625	497	1625	0.000000	0
SELECTED_ORIGINAL_ROW	autocorr_bern35-35fix	38	1264	16214	16214	670	16214	0.000000	0
SELECTED_ORIGINAL_ROW	sfacloc2_4_90	1491	4500	31682	28843	5335	28843	0.000000	0
SELECTED_ORIGINAL_ROW	cont6-qq	120395	557994	835894090	581918900	3410086	581918900	0.000000	0
SELECTED_ORIGINAL_ROW	meanvar-orl400_05_e_7	5205	174804	21939414	21935811	95007	21935811	0.000000	0
SELECTED_ORIGINAL_ROW	glider400	10017	49624	373018	327461	54123	327461	0.000000	0
SELECTED_ORIGINAL_ROW	syn40m04m	4960	13792	65982	63265	15219	63265	0.000000	0
SELECTED_ORIGINAL_ROW	ex2_1_3	31	72	189	189	73	189	0.000000	0
SELECTED_ORIGINAL_ROW	qapw	705	87496	12183146	12183146	69878	12183146	0.000000	0
SELECTED_ORIGINAL_ROW	himmel11	14	60	198	198	48	198	0.000000	0
